sample,group,n_snps,n_snps_het,n_snps_hom,titv,n_indels,avg_depth,n_missing
Control_MNP_I,Control,7806737,1089947,6716790,1.3710443770231422,2010705,46.8,1409
Control_MNP_II,Control,7925384,1086450,6838934,1.3702502593787833,2036917,47.4,1470
Control_MNP_III,Control,7812818,1117678,6695140,1.3715552464305245,2011610,49.6,1255
Only_MNP_C1,Only_MNP,7859581,1093021,6766560,1.370476745451159,2017533,42.6,1417
Only_MNP_C2,Only_MNP,7453443,1247679,6205764,1.3704676250128083,1923648,45.5,1373
Only_MNP_C3,Only_MNP,7354393,1274134,6080259,1.370832029370074,1906043,45.7,1408
Only_MNP_C4,Only_MNP,7807719,1097200,6710519,1.3709095568003768,2006563,45.6,1389
Plasmid_Ko_P1,Plasmid_Ko,7943660,1064382,6879278,1.3723141635174803,2039343,46.8,1372
Plasmid_Ko_P2,Plasmid_Ko,7573730,1173770,6399960,1.3698497380368457,1957517,46.1,1272
Plasmid_Ko_P3,Plasmid_Ko,7454570,1217439,6237131,1.3691622050826253,1922689,41.1,1443
Plasmid_Ko_P4,Plasmid_Ko,7568538,1207158,6361380,1.3682150748504855,1953578,44.8,1355
RNP_Cas1,RNP_Cas,8012787,1075690,6937097,1.370613581534005,2061259,58.7,1412
RNP_Cas2,RNP_Cas,7507932,1215389,6292543,1.3696622722964809,1948835,53.6,1482
RNP_Cas3,RNP_Cas,7728078,1149818,6578260,1.3700868102508945,2009864,66.0,970
RNP_Cas4,RNP_Cas,7127987,1335182,5792805,1.368423514307609,1851923,59.8,1154
