sample,group,n_snps,n_snps_het,n_snps_hom,titv,n_indels,avg_depth,n_missing
Control_MNP_I,Control,8868279,1285971,7582308,1.366524808014174,2216310,42.2,2110
Control_MNP_II,Control,9005413,1277559,7727854,1.3658378798643414,2247635,42.9,2279
Control_MNP_III,Control,8862058,1317005,7545053,1.3668692600180279,2215132,44.6,2035
Only_MNP_C1,Only_MNP,8914155,1277360,7636795,1.3654448104098318,2220921,38.5,2430
Only_MNP_C2,Only_MNP,8476498,1459455,7017043,1.3658268217830558,2122381,41.0,2251
Only_MNP_C3,Only_MNP,8345035,1497577,6847458,1.3652926790443252,2097265,41.3,2145
Only_MNP_C4,Only_MNP,8854777,1290237,7564540,1.365728936514549,2208068,41.1,2457
Plasmid_Ko_P1,Plasmid_Ko,9013658,1254970,7758688,1.3674678049707363,2246282,42.2,2175
Plasmid_Ko_P2,Plasmid_Ko,8598216,1384446,7213770,1.3657383923580977,2154998,41.7,2364
Plasmid_Ko_P3,Plasmid_Ko,8447020,1428150,7018870,1.363809645702584,2114733,37.1,2491
Plasmid_Ko_P4,Plasmid_Ko,8592380,1415074,7177306,1.363463132569095,2151146,40.5,2353
RNP_Cas1,RNP_Cas,9131920,1267498,7864422,1.365363457812248,2280846,53.0,2049
RNP_Cas2,RNP_Cas,8545501,1428067,7117434,1.3647721053733468,2151090,48.4,2034
RNP_Cas3,RNP_Cas,8793367,1353714,7439653,1.365124810417944,2219281,59.6,1795
RNP_Cas4,RNP_Cas,8140258,1559093,6581165,1.3627804086812896,2048853,54.0,1961
