sample,group,sgrna_depth,flank_depth,ratio
Control_MNP_III,Control,15922048.5,15922048.5,1.0
Control_MNP_II,Control,15922048.5,15922048.5,1.0
Control_MNP_I,Control,15922048.5,15922048.5,1.0
Only_MNP_C1,Only_MNP,15922048.5,15922048.5,1.0
Only_MNP_C2,Only_MNP,15922048.5,15922048.5,1.0
Only_MNP_C3,Only_MNP,15922048.5,15922048.5,1.0
Only_MNP_C4,Only_MNP,15922048.5,15922048.5,1.0
Plasmid_Ko_P1,Plasmid_Ko,15922048.5,15922048.5,1.0
Plasmid_Ko_P2,Plasmid_Ko,15922048.5,15922048.5,1.0
Plasmid_Ko_P3,Plasmid_Ko,15922048.5,15922048.5,1.0
Plasmid_Ko_P4,Plasmid_Ko,15922048.5,15922048.5,1.0
RNP_Cas1,RNP_Cas,15922048.5,15922048.5,1.0
RNP_Cas2,RNP_Cas,15922048.5,15922048.5,1.0
RNP_Cas3,RNP_Cas,15922048.5,15922048.5,1.0
RNP_Cas4,RNP_Cas,15922048.5,15922048.5,1.0
