Group,Zone,mean,std,min,max
Control,upstream_500bp,44.36,1.99,42.15,46.0
Control,upstream_100bp,48.02,2.08,46.28,50.33
Control,sgRNA_site,50.72,1.91,48.6,52.3
Control,downstream_100bp,53.73,4.88,49.13,58.85
Control,downstream_500bp,51.44,3.81,48.67,55.78
Only_MNP,upstream_500bp,40.45,6.94,32.15,47.84
Only_MNP,upstream_100bp,41.53,11.39,29.77,56.73
Only_MNP,sgRNA_site,45.69,7.41,39.25,55.55
Only_MNP,downstream_100bp,43.82,6.54,37.46,52.69
Only_MNP,downstream_500bp,50.39,2.84,47.51,53.45
Plasmid_Ko,upstream_500bp,41.01,4.27,37.41,46.63
Plasmid_Ko,upstream_100bp,46.16,10.67,33.05,59.1
Plasmid_Ko,sgRNA_site,48.21,7.91,41.25,58.65
Plasmid_Ko,downstream_100bp,48.15,5.02,42.73,54.57
Plasmid_Ko,downstream_500bp,48.9,10.53,35.42,60.72
RNP_Cas,upstream_500bp,53.29,7.82,46.71,64.21
RNP_Cas,upstream_100bp,58.27,8.81,49.77,70.49
RNP_Cas,sgRNA_site,57.5,7.95,51.7,69.25
RNP_Cas,downstream_100bp,57.98,6.79,52.01,64.47
RNP_Cas,downstream_500bp,56.64,7.28,48.43,65.95
