Sample,Group,Zone,Region,NumReads,CovBases,Coverage_Pct,Mean_Depth,Mean_BaseQ,Mean_MapQ
Control_MNP_III_S56_L002,Control,full_region,NC_088832.1:15849094-15850313,450,1220,100,48.7516,39,60
Control_MNP_III_S56_L002,Control,sgRNA_site,NC_088832.1:15849694-15849713,51,20,100,48.6,38.8,60
Control_MNP_III_S56_L002,Control,upstream_100bp,NC_088832.1:15849594-15849693,78,100,100,50.33,38.7,60
Control_MNP_III_S56_L002,Control,upstream_500bp,NC_088832.1:15849094-15849593,213,500,100,47.86,39.1,60
Control_MNP_III_S56_L002,Control,downstream_100bp,NC_088832.1:15849714-15849813,93,100,100,53.22,39,60
Control_MNP_III_S56_L002,Control,downstream_500bp,NC_088832.1:15849814-15850313,217,500,100,48.44,39,60
Control_MNP_II_S55_L002,Control,full_region,NC_088832.1:15849094-15850313,462,1220,100,49.6779,39,60
Control_MNP_II_S55_L002,Control,sgRNA_site,NC_088832.1:15849694-15849713,55,20,100,52.3,39,60
Control_MNP_II_S55_L002,Control,upstream_100bp,NC_088832.1:15849594-15849693,77,100,100,47.45,39.1,60
Control_MNP_II_S55_L002,Control,upstream_500bp,NC_088832.1:15849094-15849593,193,500,100,44.188,39,60
Control_MNP_II_S55_L002,Control,downstream_100bp,NC_088832.1:15849714-15849813,83,100,100,49.13,38.8,60
Control_MNP_II_S55_L002,Control,downstream_500bp,NC_088832.1:15849814-15850313,241,500,100,55.618,39.1,60
Control_MNP_I_S54_L002,Control,full_region,NC_088832.1:15849094-15850313,448,1220,100,48.7738,39.3,60
Control_MNP_I_S54_L002,Control,sgRNA_site,NC_088832.1:15849694-15849713,59,20,100,51.25,39.1,60
Control_MNP_I_S54_L002,Control,upstream_100bp,NC_088832.1:15849594-15849693,84,100,100,46.28,39.4,60
Control_MNP_I_S54_L002,Control,upstream_500bp,NC_088832.1:15849094-15849593,202,500,100,46.408,39.4,60
Control_MNP_I_S54_L002,Control,downstream_100bp,NC_088832.1:15849714-15849813,89,100,100,58.85,39.3,60
Control_MNP_I_S54_L002,Control,downstream_500bp,NC_088832.1:15849814-15850313,223,500,100,49.524,39.2,59.9
Only_MNP_C1_S57_L002,Only_MNP,full_region,NC_088832.1:15849094-15850313,387,1220,100,42.8795,39.2,60
Only_MNP_C1_S57_L002,Only_MNP,sgRNA_site,NC_088832.1:15849694-15849713,46,20,100,40.8,39.1,60
Only_MNP_C1_S57_L002,Only_MNP,upstream_100bp,NC_088832.1:15849594-15849693,55,100,100,37.18,39,60
Only_MNP_C1_S57_L002,Only_MNP,upstream_500bp,NC_088832.1:15849094-15849593,171,500,100,39.168,39.2,60
Only_MNP_C1_S57_L002,Only_MNP,downstream_100bp,NC_088832.1:15849714-15849813,72,100,100,40.82,39.2,60
Only_MNP_C1_S57_L002,Only_MNP,downstream_500bp,NC_088832.1:15849814-15850313,200,500,100,48.226,39.2,60
Only_MNP_C2_S58_L002,Only_MNP,full_region,NC_088832.1:15849094-15850313,413,1220,100,45.4984,39.1,60
Only_MNP_C2_S58_L002,Only_MNP,sgRNA_site,NC_088832.1:15849694-15849713,49,20,100,47.15,38.7,60
Only_MNP_C2_S58_L002,Only_MNP,upstream_100bp,NC_088832.1:15849594-15849693,66,100,100,42.43,38.7,60
Only_MNP_C2_S58_L002,Only_MNP,upstream_500bp,NC_088832.1:15849094-15849593,185,500,100,44.314,39.2,60
Only_MNP_C2_S58_L002,Only_MNP,downstream_100bp,NC_088832.1:15849714-15849813,72,100,100,37.46,39.3,60
Only_MNP_C2_S58_L002,Only_MNP,downstream_500bp,NC_088832.1:15849814-15850313,209,500,100,48.838,39,60
Only_MNP_C3_S59_L002,Only_MNP,full_region,NC_088832.1:15849094-15850313,450,1220,100,50.0402,39.2,60
Only_MNP_C3_S59_L002,Only_MNP,sgRNA_site,NC_088832.1:15849694-15849713,63,20,100,55.55,39,60
Only_MNP_C3_S59_L002,Only_MNP,upstream_100bp,NC_088832.1:15849594-15849693,97,100,100,56.73,39.2,60
Only_MNP_C3_S59_L002,Only_MNP,upstream_500bp,NC_088832.1:15849094-15849593,211,500,100,48.032,39.4,60
Only_MNP_C3_S59_L002,Only_MNP,downstream_100bp,NC_088832.1:15849714-15849813,79,100,100,52.69,38.9,60
Only_MNP_C3_S59_L002,Only_MNP,downstream_500bp,NC_088832.1:15849814-15850313,216,500,100,49.96,39.2,60
Only_MNP_C4_S60_L002,Only_MNP,full_region,NC_088832.1:15849094-15850313,369,1220,100,39.8574,38.9,60
Only_MNP_C4_S60_L002,Only_MNP,sgRNA_site,NC_088832.1:15849694-15849713,43,20,100,39.25,37.7,60
Only_MNP_C4_S60_L002,Only_MNP,upstream_100bp,NC_088832.1:15849594-15849693,53,100,100,29.77,38.1,60
Only_MNP_C4_S60_L002,Only_MNP,upstream_500bp,NC_088832.1:15849094-15849593,140,500,100,32.796,39.2,60
Only_MNP_C4_S60_L002,Only_MNP,downstream_100bp,NC_088832.1:15849714-15849813,69,100,100,44.33,38.6,60
Only_MNP_C4_S60_L002,Only_MNP,downstream_500bp,NC_088832.1:15849814-15850313,211,500,100,48.066,38.9,60
Plasmid_Ko_P1_S61_L002,Plasmid_Ko,full_region,NC_088832.1:15849094-15850313,410,1220,100,45.1951,39,60
Plasmid_Ko_P1_S61_L002,Plasmid_Ko,sgRNA_site,NC_088832.1:15849694-15849713,48,20,100,41.25,38.8,60
Plasmid_Ko_P1_S61_L002,Plasmid_Ko,upstream_100bp,NC_088832.1:15849594-15849693,52,100,100,33.05,39.1,60
Plasmid_Ko_P1_S61_L002,Plasmid_Ko,upstream_500bp,NC_088832.1:15849094-15849593,171,500,100,40.784,39.2,60
Plasmid_Ko_P1_S61_L002,Plasmid_Ko,downstream_100bp,NC_088832.1:15849714-15849813,81,100,100,46.17,38.8,60
Plasmid_Ko_P1_S61_L002,Plasmid_Ko,downstream_500bp,NC_088832.1:15849814-15850313,222,500,100,51.998,38.9,60
Plasmid_Ko_P2_S62_L002,Plasmid_Ko,full_region,NC_088832.1:15849094-15850313,489,1220,100,54.3369,39.2,60
Plasmid_Ko_P2_S62_L002,Plasmid_Ko,sgRNA_site,NC_088832.1:15849694-15849713,62,20,100,58.65,39.2,60
Plasmid_Ko_P2_S62_L002,Plasmid_Ko,upstream_100bp,NC_088832.1:15849594-15849693,98,100,100,59.1,39.1,60
