Group,Zone,N,Mean_Depth_mean,Mean_Depth_sd,Coverage_Pct_mean,Coverage_Pct_sd,NumReads_mean,Mean_MapQ_mean
Control,upstream_500bp,3,46.15,1.85,100.0,0.0,202.67,60.0
Control,upstream_100bp,3,48.02,2.08,100.0,0.0,79.67,60.0
Control,sgRNA_site,3,50.72,1.91,100.0,0.0,55.0,60.0
Control,downstream_100bp,3,53.73,4.88,100.0,0.0,88.33,60.0
Control,downstream_500bp,3,51.19,3.87,100.0,0.0,227.0,59.97
Only_MNP,upstream_500bp,4,41.08,6.61,100.0,0.0,176.75,60.0
Only_MNP,upstream_100bp,4,41.53,11.39,100.0,0.0,67.75,60.0
Only_MNP,sgRNA_site,4,45.69,7.41,100.0,0.0,50.25,60.0
Only_MNP,downstream_100bp,4,43.82,6.54,100.0,0.0,73.0,60.0
Only_MNP,downstream_500bp,4,48.77,0.86,100.0,0.0,209.0,60.0
Plasmid_Ko,upstream_500bp,4,41.32,3.47,100.0,0.0,181.25,60.0
Plasmid_Ko,upstream_100bp,4,46.16,10.67,100.0,0.0,73.75,60.0
Plasmid_Ko,sgRNA_site,4,48.21,7.91,100.0,0.0,53.5,60.0
Plasmid_Ko,downstream_100bp,4,48.15,5.02,100.0,0.0,83.75,60.0
Plasmid_Ko,downstream_500bp,4,49.39,10.07,100.0,0.0,210.25,60.0
RNP_Cas,upstream_500bp,4,54.54,6.9,100.0,0.0,242.75,59.98
RNP_Cas,upstream_100bp,4,58.27,8.81,100.0,0.0,92.75,60.0
RNP_Cas,sgRNA_site,4,57.5,7.95,100.0,0.0,65.75,60.0
RNP_Cas,downstream_100bp,4,57.98,6.79,100.0,0.0,96.25,60.0
RNP_Cas,downstream_500bp,4,57.86,6.75,100.0,0.0,253.5,60.0
