Sample,Group,Zone,Zone_Start,Zone_End,Mean_Depth,Min_Depth,Max_Depth,Positions
Control_MNP_III_S56_L002,Control,upstream_500bp,15849094,15849593,47.86,38,66,500
Control_MNP_III_S56_L002,Control,upstream_100bp,15849594,15849693,50.33,45,55,100
Control_MNP_III_S56_L002,Control,sgRNA_site,15849694,15849713,48.60,47,49,20
Control_MNP_III_S56_L002,Control,downstream_100bp,15849714,15849813,53.22,46,62,100
Control_MNP_III_S56_L002,Control,downstream_500bp,15849814,15850313,48.44,37,62,500
Control_MNP_II_S55_L002,Control,upstream_500bp,15849094,15849593,44.19,32,58,500
Control_MNP_II_S55_L002,Control,upstream_100bp,15849594,15849693,47.45,39,53,100
Control_MNP_II_S55_L002,Control,sgRNA_site,15849694,15849713,52.30,51,53,20
Control_MNP_II_S55_L002,Control,downstream_100bp,15849714,15849813,49.13,45,55,100
Control_MNP_II_S55_L002,Control,downstream_500bp,15849814,15850313,55.62,45,65,500
Control_MNP_I_S54_L002,Control,upstream_500bp,15849094,15849593,46.41,37,53,500
Control_MNP_I_S54_L002,Control,upstream_100bp,15849594,15849693,46.28,42,51,100
Control_MNP_I_S54_L002,Control,sgRNA_site,15849694,15849713,51.25,50,54,20
Control_MNP_I_S54_L002,Control,downstream_100bp,15849714,15849813,58.85,51,66,100
Control_MNP_I_S54_L002,Control,downstream_500bp,15849814,15850313,49.52,40,62,500
Only_MNP_C1_S57_L002,Only_MNP,upstream_500bp,15849094,15849593,39.17,26,49,500
Only_MNP_C1_S57_L002,Only_MNP,upstream_100bp,15849594,15849693,37.18,33,40,100
Only_MNP_C1_S57_L002,Only_MNP,sgRNA_site,15849694,15849713,40.80,38,43,20
Only_MNP_C1_S57_L002,Only_MNP,downstream_100bp,15849714,15849813,40.82,35,46,100
Only_MNP_C1_S57_L002,Only_MNP,downstream_500bp,15849814,15850313,48.23,25,67,500
Only_MNP_C2_S58_L002,Only_MNP,upstream_500bp,15849094,15849593,44.31,32,54,500
Only_MNP_C2_S58_L002,Only_MNP,upstream_100bp,15849594,15849693,42.43,37,48,100
Only_MNP_C2_S58_L002,Only_MNP,sgRNA_site,15849694,15849713,47.15,46,48,20
Only_MNP_C2_S58_L002,Only_MNP,downstream_100bp,15849714,15849813,37.46,32,46,100
Only_MNP_C2_S58_L002,Only_MNP,downstream_500bp,15849814,15850313,48.84,34,62,500
Only_MNP_C3_S59_L002,Only_MNP,upstream_500bp,15849094,15849593,48.03,38,59,500
Only_MNP_C3_S59_L002,Only_MNP,upstream_100bp,15849594,15849693,56.73,52,62,100
Only_MNP_C3_S59_L002,Only_MNP,sgRNA_site,15849694,15849713,55.55,52,59,20
Only_MNP_C3_S59_L002,Only_MNP,downstream_100bp,15849714,15849813,52.69,47,60,100
Only_MNP_C3_S59_L002,Only_MNP,downstream_500bp,15849814,15850313,49.96,33,66,500
Only_MNP_C4_S60_L002,Only_MNP,upstream_500bp,15849094,15849593,32.80,23,41,500
Only_MNP_C4_S60_L002,Only_MNP,upstream_100bp,15849594,15849693,29.77,24,39,100
Only_MNP_C4_S60_L002,Only_MNP,sgRNA_site,15849694,15849713,39.25,37,41,20
Only_MNP_C4_S60_L002,Only_MNP,downstream_100bp,15849714,15849813,44.33,40,48,100
Only_MNP_C4_S60_L002,Only_MNP,downstream_500bp,15849814,15850313,48.07,40,60,500
Plasmid_Ko_P1_S61_L002,Plasmid_Ko,upstream_500bp,15849094,15849593,40.78,23,61,500
Plasmid_Ko_P1_S61_L002,Plasmid_Ko,upstream_100bp,15849594,15849693,33.05,28,38,100
Plasmid_Ko_P1_S61_L002,Plasmid_Ko,sgRNA_site,15849694,15849713,41.25,38,45,20
Plasmid_Ko_P1_S61_L002,Plasmid_Ko,downstream_100bp,15849714,15849813,46.17,40,55,100
Plasmid_Ko_P1_S61_L002,Plasmid_Ko,downstream_500bp,15849814,15850313,52.00,41,62,500
Plasmid_Ko_P2_S62_L002,Plasmid_Ko,upstream_500bp,15849094,15849593,45.78,30,60,500
Plasmid_Ko_P2_S62_L002,Plasmid_Ko,upstream_100bp,15849594,15849693,59.10,51,63,100
Plasmid_Ko_P2_S62_L002,Plasmid_Ko,sgRNA_site,15849694,15849713,58.65,57,61,20
Plasmid_Ko_P2_S62_L002,Plasmid_Ko,downstream_100bp,15849714,15849813,54.57,50,59,100
Plasmid_Ko_P2_S62_L002,Plasmid_Ko,downstream_500bp,15849814,15850313,61.72,50,72,500
Plasmid_Ko_P3_S63_L002,Plasmid_Ko,upstream_500bp,15849094,15849593,37.33,30,45,500
Plasmid_Ko_P3_S63_L002,Plasmid_Ko,upstream_100bp,15849594,15849693,47.30,43,50,100
Plasmid_Ko_P3_S63_L002,Plasmid_Ko,sgRNA_site,15849694,15849713,49.95,48,52,20
Plasmid_Ko_P3_S63_L002,Plasmid_Ko,downstream_100bp,15849714,15849813,49.13,44,56,100
Plasmid_Ko_P3_S63_L002,Plasmid_Ko,downstream_500bp,15849814,15850313,46.04,22,57,500
Plasmid_Ko_P4_S64_L002,Plasmid_Ko,upstream_500bp,15849094,15849593,41.40,31,50,500
Plasmid_Ko_P4_S64_L002,Plasmid_Ko,upstream_100bp,15849594,15849693,45.19,40,50,100
Plasmid_Ko_P4_S64_L002,Plasmid_Ko,sgRNA_site,15849694,15849713,43.00,41,45,20
Plasmid_Ko_P4_S64_L002,Plasmid_Ko,downstream_100bp,15849714,15849813,42.73,36,53,100
Plasmid_Ko_P4_S64_L002,Plasmid_Ko,downstream_500bp,15849814,15850313,37.80,22,53,500
RNP_Cas1_S65_L002,RNP_Cas,upstream_500bp,15849094,15849593,50.52,43,66,500
RNP_Cas1_S65_L002,RNP_Cas,upstream_100bp,15849594,15849693,49.77,44,53,100
