sample,group,sgrna_depth,flank_depth,ratio
Control_MNP_III,Control,48.6,50.1575,0.9689478143846882
Control_MNP_II,Control,52.3,48.8575,1.0704600112572276
Control_MNP_I,Control,51.25,51.7475,0.9903860089859413
Only_MNP_C1,Only_MNP,40.8,40.5175,1.0069722959215153
Only_MNP_C2,Only_MNP,47.15,40.4375,1.1659969088098918
Only_MNP_C3,Only_MNP,55.55,53.1375,1.0454010820983297
Only_MNP_C4,Only_MNP,39.25,36.505,1.075195178742638
Plasmid_Ko_P1,Plasmid_Ko,41.25,40.8,1.0110294117647058
Plasmid_Ko_P2,Plasmid_Ko,58.65,57.42,1.0214211076280042
Plasmid_Ko_P3,Plasmid_Ko,49.95,46.73,1.0689064840573508
Plasmid_Ko_P4,Plasmid_Ko,43.0,42.3,1.0165484633569741
RNP_Cas1,RNP_Cas,51.7,48.71,1.061383699445699
RNP_Cas2,RNP_Cas,54.55,56.3125,0.9687014428412875
RNP_Cas3,RNP_Cas,69.25,66.5675,1.040297442445638
RNP_Cas4,RNP_Cas,54.5,57.8575,0.941969494015469
