Group,Zone,mean,std,min,max
Control,upstream_500bp,46.15,1.85,44.19,47.86
Control,upstream_100bp,48.02,2.08,46.28,50.33
Control,sgRNA_site,50.72,1.91,48.6,52.3
Control,downstream_100bp,53.73,4.88,49.13,58.85
Control,downstream_500bp,51.19,3.87,48.44,55.62
Only_MNP,upstream_500bp,41.08,6.61,32.8,48.03
Only_MNP,upstream_100bp,41.53,11.39,29.77,56.73
Only_MNP,sgRNA_site,45.69,7.41,39.25,55.55
Only_MNP,downstream_100bp,43.82,6.54,37.46,52.69
Only_MNP,downstream_500bp,48.78,0.86,48.07,49.96
Plasmid_Ko,upstream_500bp,41.32,3.47,37.33,45.78
Plasmid_Ko,upstream_100bp,46.16,10.67,33.05,59.1
Plasmid_Ko,sgRNA_site,48.21,7.91,41.25,58.65
Plasmid_Ko,downstream_100bp,48.15,5.02,42.73,54.57
Plasmid_Ko,downstream_500bp,49.39,10.07,37.8,61.72
RNP_Cas,upstream_500bp,54.54,6.9,49.36,64.51
RNP_Cas,upstream_100bp,58.27,8.81,49.77,70.49
RNP_Cas,sgRNA_site,57.5,7.95,51.7,69.25
RNP_Cas,downstream_100bp,57.98,6.79,52.01,64.47
RNP_Cas,downstream_500bp,57.86,6.75,50.89,66.63
