## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates --INPUT /hpcfs/home/ing_civil/da.martinez33/UBC/off-target_data/mapping/trimmomatic/Control_MNP_III_S56_L002.sorted.bam --OUTPUT /hpcfs/home/ing_civil/da.martinez33/UBC/off-target_data/gatk/trimmomatic/markdup/Control_MNP_III_S56_L002.markdup.bam --METRICS_FILE /hpcfs/home/ing_civil/da.martinez33/UBC/off-target_data/gatk/trimmomatic/metrics/Control_MNP_III_S56_L002_dup_metrics.txt --REMOVE_DUPLICATES false --TMP_DIR /tmp/da.martinez33_439496 --VALIDATION_STRINGENCY SILENT --MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP 50000 --MAX_FILE_HANDLES_FOR_READ_ENDS_MAP 8000 --SORTING_COLLECTION_SIZE_RATIO 0.25 --TAG_DUPLICATE_SET_MEMBERS false --REMOVE_SEQUENCING_DUPLICATES false --TAGGING_POLICY DontTag --CLEAR_DT true --DUPLEX_UMI false --FLOW_MODE false --FLOW_QUALITY_SUM_STRATEGY false --USE_END_IN_UNPAIRED_READS false --USE_UNPAIRED_CLIPPED_END false --UNPAIRED_END_UNCERTAINTY 0 --FLOW_SKIP_FIRST_N_FLOWS 0 --FLOW_Q_IS_KNOWN_END false --FLOW_EFFECTIVE_QUALITY_THRESHOLD 15 --ADD_PG_TAG_TO_READS true --ASSUME_SORTED false --DUPLICATE_SCORING_STRATEGY SUM_OF_BASE_QUALITIES --PROGRAM_RECORD_ID MarkDuplicates --PROGRAM_GROUP_NAME MarkDuplicates --READ_NAME_REGEX <optimized capture of last three ':' separated fields as numeric values> --OPTICAL_DUPLICATE_PIXEL_DISTANCE 100 --MAX_OPTICAL_DUPLICATE_SET_SIZE 300000 --VERBOSITY INFO --QUIET false --COMPRESSION_LEVEL 2 --MAX_RECORDS_IN_RAM 500000 --CREATE_INDEX false --CREATE_MD5_FILE false --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Tue May 05 21:16:58 COT 2026

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
lib1	1787203	128309230	4987941	5315667	1009954	8094100	1545328	0.066555	1184249029

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	optical_sets	non_optical_sets
1.0	1.011542	114003355	0	115411542
2.0	1.919216	5799013	1499093	4505806
3.0	2.733687	231132	22258	121219
4.0	3.464525	49952	488	46461
5.0	4.120318	25259	35	24679
6.0	4.708772	15796	5	15603
7.0	5.236802	11064	1	10938
8.0	5.710611	8566	2	8509
9.0	6.135769	6848	0	6769
10.0	6.51727	6000	0	5973
11.0	6.859597	5319	0	5369
12.0	7.166772	4746	1	4727
13.0	7.442406	4336	0	4301
14.0	7.689737	3935	1	3929
15.0	7.911671	3522	0	3523
16.0	8.110816	3169	0	3167
17.0	8.289513	2868	1	2823
18.0	8.44986	2620	0	2571
19.0	8.593742	2386	0	2406
20.0	8.72285	2162	0	2152
21.0	8.838701	1994	0	1985
22.0	8.942655	1825	0	1793
23.0	9.035935	1678	0	1643
24.0	9.119637	1541	0	1547
25.0	9.194745	1382	0	1368
26.0	9.262139	1245	0	1210
27.0	9.322614	1177	0	1166
28.0	9.376879	1065	0	1021
29.0	9.425571	990	0	981
30.0	9.469264	869	0	867
31.0	9.508471	774	1	747
32.0	9.543651	707	0	696
33.0	9.575219	661	0	666
34.0	9.603545	612	0	595
35.0	9.628963	580	0	556
36.0	9.651771	508	0	507
37.0	9.672237	456	0	451
38.0	9.690601	393	0	373
39.0	9.70708	391	0	363
40.0	9.721867	324	0	333
41.0	9.735135	314	0	312
42.0	9.747041	260	0	276
43.0	9.757724	294	0	256
44.0	9.76731	238	0	239
45.0	9.775912	205	0	181
46.0	9.783631	217	0	216
47.0	9.790557	183	0	186
48.0	9.796772	166	0	169
49.0	9.802348	164	0	158
50.0	9.807352	137	0	127
51.0	9.811843	127	0	121
52.0	9.815872	117	0	122
53.0	9.819487	113	0	110
54.0	9.822731	106	0	102
55.0	9.825642	92	0	89
56.0	9.828255	94	0	86
57.0	9.830599	81	0	79
58.0	9.832702	60	0	68
59.0	9.834589	68	0	64
60.0	9.836283	74	0	62
61.0	9.837802	51	0	42
62.0	9.839166	37	0	49
63.0	9.840389	45	0	36
64.0	9.841487	43	0	45
65.0	9.842472	44	0	30
66.0	9.843356	31	0	43
67.0	9.84415	36	0	37
68.0	9.844861	37	0	33
69.0	9.8455	24	0	17
70.0	9.846073	27	0	30
71.0	9.846587	30	0	29
72.0	9.847049	19	0	20
73.0	9.847463	26	0	27
74.0	9.847834	21	0	25
75.0	9.848168	24	0	21
76.0	9.848467	28	0	19
77.0	9.848736	17	0	13
78.0	9.848976	10	0	18
79.0	9.849193	12	0	9
80.0	9.849386	12	0	13
81.0	9.849561	16	0	10
82.0	9.849717	8	0	11
83.0	9.849857	8	0	8
84.0	9.849983	15	0	16
85.0	9.850095	14	0	12
86.0	9.850197	14	0	10
87.0	9.850287	6	0	5
88.0	9.850369	5	0	6
89.0	9.850442	6	0	5
90.0	9.850508	5	0	8
91.0	9.850567	9	0	5
92.0	9.85062	3	0	4
93.0	9.850667	4	0	6
94.0	9.85071	5	0	7
95.0	9.850748	3	0	7
96.0	9.850782	8	0	2
97.0	9.850813	2	0	1
98.0	9.85084	2	0	2
99.0	9.850865	3	0	5
100.0	9.850887	3	0	2
101.0	0	5	0	2
102.0	0	4	0	6
103.0	0	3	0	2
105.0	0	2	0	6
106.0	0	4	0	3
107.0	0	5	0	1
108.0	0	1	0	2
109.0	0	1	0	0
110.0	0	1	0	1
113.0	0	0	0	1
114.0	0	1	0	0
115.0	0	1	0	1
116.0	0	1	0	1
117.0	0	1	0	1
118.0	0	1	0	1
121.0	0	0	0	1
123.0	0	2	0	2
125.0	0	2	0	2
126.0	0	3	0	2
127.0	0	0	0	1
128.0	0	1	0	0
129.0	0	1	0	1
130.0	0	0	0	1
132.0	0	0	0	1
133.0	0	1	0	0
136.0	0	1	0	0
137.0	0	1	0	1
144.0	0	1	0	1
145.0	0	1	0	2
146.0	0	1	0	0
147.0	0	2	0	2
150.0	0	0	0	1
151.0	0	1	0	0
153.0	0	2	0	3
154.0	0	1	0	0
157.0	0	1	0	1
160.0	0	1	0	1
168.0	0	1	0	1
173.0	0	0	0	1
174.0	0	1	0	0
177.0	0	0	0	1
178.0	0	3	0	2
182.0	0	1	0	1
183.0	0	0	0	1
184.0	0	1	0	0
189.0	0	1	0	1
211.0	0	1	0	1
268.0	0	1	0	1
284.0	0	1	0	1
316.0	0	1	0	1
334.0	0	1	0	1
386.0	0	1	0	1
406.0	0	1	0	1
510.0	0	1	0	1
531.0	0	1	0	1
568.0	0	0	0	1
569.0	0	1	0	0
650.0	0	0	0	1
651.0	0	1	0	0
688.0	0	1	0	1
1027.0	0	1	0	1
1197.0	0	1	0	1
1542.0	0	1	0	1
1745.0	0	1	0	1
1953.0	0	0	0	1
1954.0	0	1	0	0
3654.0	0	0	0	1
3655.0	0	1	0	0
5218.0	0	0	0	1
5223.0	0	1	0	0
5421.0	0	0	0	1
5425.0	0	1	0	0
6883.0	0	0	0	1
6888.0	0	1	0	0
6889.0	0	0	0	1
6905.0	0	1	0	0
7352.0	0	0	0	1
7363.0	0	1	0	0
9989.0	0	0	0	1
10002.0	0	1	0	0
16090.0	0	0	0	1
16120.0	0	1	0	0

