## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates --INPUT /hpcfs/home/ing_civil/da.martinez33/UBC/off-target_data/mapping/trimmomatic/Control_MNP_II_S55_L002.sorted.bam --OUTPUT /hpcfs/home/ing_civil/da.martinez33/UBC/off-target_data/gatk/trimmomatic/markdup/Control_MNP_II_S55_L002.markdup.bam --METRICS_FILE /hpcfs/home/ing_civil/da.martinez33/UBC/off-target_data/gatk/trimmomatic/metrics/Control_MNP_II_S55_L002_dup_metrics.txt --REMOVE_DUPLICATES false --TMP_DIR /tmp/da.martinez33_439497 --VALIDATION_STRINGENCY SILENT --MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP 50000 --MAX_FILE_HANDLES_FOR_READ_ENDS_MAP 8000 --SORTING_COLLECTION_SIZE_RATIO 0.25 --TAG_DUPLICATE_SET_MEMBERS false --REMOVE_SEQUENCING_DUPLICATES false --TAGGING_POLICY DontTag --CLEAR_DT true --DUPLEX_UMI false --FLOW_MODE false --FLOW_QUALITY_SUM_STRATEGY false --USE_END_IN_UNPAIRED_READS false --USE_UNPAIRED_CLIPPED_END false --UNPAIRED_END_UNCERTAINTY 0 --FLOW_SKIP_FIRST_N_FLOWS 0 --FLOW_Q_IS_KNOWN_END false --FLOW_EFFECTIVE_QUALITY_THRESHOLD 15 --ADD_PG_TAG_TO_READS true --ASSUME_SORTED false --DUPLICATE_SCORING_STRATEGY SUM_OF_BASE_QUALITIES --PROGRAM_RECORD_ID MarkDuplicates --PROGRAM_GROUP_NAME MarkDuplicates --READ_NAME_REGEX <optimized capture of last three ':' separated fields as numeric values> --OPTICAL_DUPLICATE_PIXEL_DISTANCE 100 --MAX_OPTICAL_DUPLICATE_SET_SIZE 300000 --VERBOSITY INFO --QUIET false --COMPRESSION_LEVEL 2 --MAX_RECORDS_IN_RAM 500000 --CREATE_INDEX false --CREATE_MD5_FILE false --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Tue May 05 21:16:58 COT 2026

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
lib1	1832555	122467380	4736883	5336549	1026240	7678585	1508475	0.066392	1144967784

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	optical_sets	non_optical_sets
1.0	1.011816	108950697	0	110326879
2.0	1.920994	5442184	1462910	4175758
3.0	2.737945	218217	21873	113229
4.0	3.472025	47735	517	44447
5.0	4.13164	24188	38	23715
6.0	4.724344	15249	9	15002
7.0	5.256924	10911	1	10825
8.0	5.735479	8474	0	8414
9.0	6.16549	6787	1	6786
10.0	6.551881	5937	1	5904
11.0	6.899077	5248	0	5209
12.0	7.211053	4642	1	4657
13.0	7.491382	4308	0	4284
14.0	7.743275	3829	0	3830
15.0	7.969616	3530	0	3488
16.0	8.172997	3180	0	3172
17.0	8.355747	2940	0	2941
18.0	8.519958	2577	1	2583
19.0	8.667513	2431	0	2443
20.0	8.800099	2257	0	2184
21.0	8.919236	2017	1	2039
22.0	9.026288	1866	0	1810
23.0	9.12248	1705	0	1664
24.0	9.208915	1604	0	1603
25.0	9.286582	1368	0	1360
26.0	9.35637	1241	0	1245
27.0	9.419079	1205	0	1174
28.0	9.475427	1010	0	1003
29.0	9.526059	1014	0	930
30.0	9.571555	867	0	871
31.0	9.612436	862	0	874
32.0	9.649169	763	0	758
33.0	9.682177	693	0	660
34.0	9.711836	656	0	646
35.0	9.738487	592	0	568
36.0	9.762434	509	0	480
37.0	9.783952	440	0	432
38.0	9.803287	415	0	437
39.0	9.820661	372	0	335
40.0	9.836273	349	0	381
41.0	9.850301	350	0	344
42.0	9.862906	331	0	309
43.0	9.874232	265	0	257
44.0	9.884409	266	0	244
45.0	9.893554	221	0	202
46.0	9.901771	165	0	186
47.0	9.909155	208	0	213
48.0	9.91579	192	0	172
49.0	9.921751	159	0	147
50.0	9.927108	137	0	132
51.0	9.931922	129	0	121
52.0	9.936247	113	0	107
53.0	9.940134	111	0	120
54.0	9.943626	104	0	91
55.0	9.946764	89	0	82
56.0	9.949584	81	0	79
57.0	9.952117	71	0	68
58.0	9.954394	57	0	46
59.0	9.95644	61	0	70
60.0	9.958278	61	0	63
61.0	9.959929	51	0	44
62.0	9.961414	49	0	43
63.0	9.962747	40	0	45
64.0	9.963946	41	0	40
65.0	9.965022	46	0	44
66.0	9.96599	29	0	37
67.0	9.966859	36	0	29
68.0	9.967641	34	0	31
69.0	9.968342	33	0	30
70.0	9.968973	26	0	26
71.0	9.96954	22	0	23
72.0	9.970049	24	0	20
73.0	9.970507	16	0	19
74.0	9.970918	18	0	13
75.0	9.971288	21	0	23
76.0	9.97162	14	0	8
77.0	9.971918	14	0	14
78.0	9.972186	13	0	9
79.0	9.972427	10	0	11
80.0	9.972643	10	0	14
81.0	9.972838	15	0	12
82.0	9.973013	12	0	15
83.0	9.97317	10	0	8
84.0	9.973311	13	0	13
85.0	9.973437	11	0	8
86.0	9.973551	4	0	4
87.0	9.973654	4	0	6
88.0	9.973746	9	0	11
89.0	9.973828	10	0	9
90.0	9.973903	7	0	6
91.0	9.973969	5	0	6
92.0	9.974029	8	0	7
93.0	9.974083	5	0	5
94.0	9.974132	4	0	4
95.0	9.974175	4	0	3
96.0	9.974214	7	0	7
97.0	9.974249	4	0	1
98.0	9.974281	3	0	5
99.0	9.974309	1	0	0
100.0	9.974335	2	0	2
101.0	0	3	0	2
102.0	0	1	0	2
103.0	0	2	0	1
104.0	0	2	0	6
105.0	0	4	0	2
106.0	0	3	0	0
107.0	0	2	0	1
108.0	0	2	0	3
109.0	0	1	0	1
110.0	0	1	0	0
111.0	0	1	0	2
112.0	0	1	0	2
113.0	0	3	0	1
114.0	0	0	0	2
115.0	0	2	0	0
116.0	0	1	0	1
117.0	0	2	0	3
118.0	0	1	0	1
121.0	0	0	0	1
122.0	0	1	0	0
123.0	0	1	0	0
127.0	0	1	0	1
130.0	0	1	0	2
132.0	0	1	0	1
133.0	0	2	0	1
135.0	0	1	0	2
136.0	0	1	0	0
146.0	0	0	0	1
148.0	0	1	0	1
149.0	0	1	0	0
151.0	0	1	0	1
157.0	0	1	0	2
158.0	0	1	0	0
176.0	0	0	0	1
177.0	0	1	0	0
192.0	0	1	0	1
193.0	0	1	0	1
206.0	0	1	0	1
289.0	0	1	0	1
306.0	0	1	0	1
315.0	0	1	0	1
330.0	0	1	0	1
345.0	0	0	0	1
346.0	0	1	0	0
621.0	0	1	0	1
629.0	0	1	0	1
649.0	0	0	0	1
651.0	0	1	0	0
755.0	0	1	0	1
866.0	0	1	0	1
931.0	0	0	0	1
932.0	0	1	0	0
956.0	0	1	0	1
1773.0	0	1	0	1
2503.0	0	0	0	1
2508.0	0	1	0	0
3577.0	0	0	0	1
3578.0	0	1	0	0
5043.0	0	0	0	1
5052.0	0	1	0	0
5150.0	0	0	0	1
5154.0	0	1	0	0
5758.0	0	0	0	1
5775.0	0	1	0	0
7298.0	0	0	0	1
7309.0	0	1	0	0
11308.0	0	0	0	1
11328.0	0	1	0	0

