## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates --INPUT /hpcfs/home/ing_civil/da.martinez33/UBC/off-target_data/mapping/trimmomatic/Control_MNP_I_S54_L002.sorted.bam --OUTPUT /hpcfs/home/ing_civil/da.martinez33/UBC/off-target_data/gatk/trimmomatic/markdup/Control_MNP_I_S54_L002.markdup.bam --METRICS_FILE /hpcfs/home/ing_civil/da.martinez33/UBC/off-target_data/gatk/trimmomatic/metrics/Control_MNP_I_S54_L002_dup_metrics.txt --REMOVE_DUPLICATES false --TMP_DIR /tmp/da.martinez33_439498 --VALIDATION_STRINGENCY SILENT --MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP 50000 --MAX_FILE_HANDLES_FOR_READ_ENDS_MAP 8000 --SORTING_COLLECTION_SIZE_RATIO 0.25 --TAG_DUPLICATE_SET_MEMBERS false --REMOVE_SEQUENCING_DUPLICATES false --TAGGING_POLICY DontTag --CLEAR_DT true --DUPLEX_UMI false --FLOW_MODE false --FLOW_QUALITY_SUM_STRATEGY false --USE_END_IN_UNPAIRED_READS false --USE_UNPAIRED_CLIPPED_END false --UNPAIRED_END_UNCERTAINTY 0 --FLOW_SKIP_FIRST_N_FLOWS 0 --FLOW_Q_IS_KNOWN_END false --FLOW_EFFECTIVE_QUALITY_THRESHOLD 15 --ADD_PG_TAG_TO_READS true --ASSUME_SORTED false --DUPLICATE_SCORING_STRATEGY SUM_OF_BASE_QUALITIES --PROGRAM_RECORD_ID MarkDuplicates --PROGRAM_GROUP_NAME MarkDuplicates --READ_NAME_REGEX <optimized capture of last three ':' separated fields as numeric values> --OPTICAL_DUPLICATE_PIXEL_DISTANCE 100 --MAX_OPTICAL_DUPLICATE_SET_SIZE 300000 --VERBOSITY INFO --QUIET false --COMPRESSION_LEVEL 2 --MAX_RECORDS_IN_RAM 500000 --CREATE_INDEX false --CREATE_MD5_FILE false --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Tue May 05 21:16:58 COT 2026

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
lib1	1759830	120211570	4599734	5325110	964280	7205534	1520930	0.063486	1199201963

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	optical_sets	non_optical_sets
1.0	1.012183	107371988	0	108763875
2.0	1.927821	5265620	1474812	3982649
3.0	2.756124	208127	22247	103882
4.0	3.505421	43205	461	39955
5.0	4.183248	21985	33	21481
6.0	4.796423	14120	5	13930
7.0	5.351111	10126	3	10070
8.0	5.852892	8089	3	8055
9.0	6.306812	6896	1	6844
10.0	6.717436	5731	0	5706
11.0	7.088894	5170	0	5158
12.0	7.424921	4541	0	4562
13.0	7.728897	4063	0	3997
14.0	8.003879	3588	0	3601
15.0	8.252632	3265	0	3260
16.0	8.477659	2970	1	2956
17.0	8.681223	2610	0	2598
18.0	8.86537	2376	0	2326
19.0	9.031952	2162	0	2118
20.0	9.182646	1938	0	1938
21.0	9.318966	1722	0	1690
22.0	9.442283	1509	0	1514
23.0	9.553838	1419	1	1393
24.0	9.654753	1281	0	1244
25.0	9.746042	1181	0	1153
26.0	9.828624	1049	0	1033
27.0	9.903329	903	0	887
28.0	9.970909	856	0	830
29.0	10.032042	732	0	731
30.0	10.087345	666	0	647
31.0	10.137372	617	0	624
32.0	10.182628	574	0	548
33.0	10.223567	492	0	474
34.0	10.260602	474	0	452
35.0	10.294104	395	0	378
36.0	10.32441	350	0	335
37.0	10.351826	317	0	298
38.0	10.376627	255	0	275
39.0	10.399062	261	0	260
40.0	10.419357	262	0	229
41.0	10.437717	196	0	183
42.0	10.454325	160	0	168
43.0	10.469349	167	0	160
44.0	10.48294	152	0	153
45.0	10.495235	134	0	121
46.0	10.506357	124	0	120
47.0	10.516418	111	0	115
48.0	10.52552	81	0	77
49.0	10.533753	80	0	75
50.0	10.541201	75	0	78
51.0	10.547939	83	0	71
52.0	10.554034	65	0	74
53.0	10.559548	68	0	62
54.0	10.564535	60	0	59
55.0	10.569047	47	0	48
56.0	10.573129	49	0	40
57.0	10.576821	51	0	38
58.0	10.580162	32	0	35
59.0	10.583183	30	0	33
60.0	10.585916	27	0	34
61.0	10.588389	28	0	25
62.0	10.590626	24	0	20
63.0	10.592649	24	0	21
64.0	10.59448	20	0	25
65.0	10.596136	22	0	20
66.0	10.597634	20	0	16
67.0	10.598989	15	0	13
68.0	10.600214	13	0	15
69.0	10.601323	10	0	8
70.0	10.602326	13	0	6
71.0	10.603234	7	0	11
72.0	10.604055	9	0	6
73.0	10.604797	6	0	9
74.0	10.605469	7	0	8
75.0	10.606077	7	0	4
76.0	10.606626	6	0	5
77.0	10.607124	5	0	10
78.0	10.607573	7	0	4
79.0	10.60798	8	0	6
80.0	10.608349	6	0	6
81.0	10.608682	7	0	5
82.0	10.608983	5	0	4
83.0	10.609255	1	0	3
84.0	10.609502	3	0	3
85.0	10.609725	2	0	4
86.0	10.609927	4	0	3
87.0	10.610109	3	0	5
88.0	10.610274	3	0	2
89.0	10.610424	6	0	3
90.0	10.610559	2	0	3
91.0	10.610681	2	0	1
92.0	10.610791	3	0	1
93.0	10.610891	0	0	1
94.0	10.610982	0	0	0
95.0	10.611064	1	0	1
96.0	10.611138	3	0	2
97.0	10.611205	0	0	1
98.0	10.611265	0	0	0
99.0	10.61132	2	0	1
100.0	10.61137	1	0	2
101.0	0	2	0	1
106.0	0	1	0	1
107.0	0	2	0	3
108.0	0	0	0	2
109.0	0	1	0	0
110.0	0	1	0	1
111.0	0	2	0	2
112.0	0	1	0	1
113.0	0	2	0	0
118.0	0	1	0	2
121.0	0	0	0	1
122.0	0	1	0	0
124.0	0	1	0	1
125.0	0	2	0	2
126.0	0	1	0	1
127.0	0	1	0	0
140.0	0	1	0	1
142.0	0	2	0	2
145.0	0	1	0	1
146.0	0	1	0	2
147.0	0	2	0	1
159.0	0	1	0	1
166.0	0	0	0	1
167.0	0	1	0	0
179.0	0	1	0	1
180.0	0	0	0	1
182.0	0	1	0	0
185.0	0	2	0	2
235.0	0	2	0	2
274.0	0	1	0	1
317.0	0	1	0	1
384.0	0	1	0	1
446.0	0	1	0	1
454.0	0	1	0	1
571.0	0	1	0	1
583.0	0	1	0	1
887.0	0	0	0	1
888.0	0	1	0	0
920.0	0	1	0	1
990.0	0	1	0	1
1019.0	0	1	0	1
1191.0	0	0	0	1
1192.0	0	1	0	0
2095.0	0	0	0	1
2100.0	0	1	0	0
3040.0	0	0	0	1
3042.0	0	1	0	0
4072.0	0	0	0	1
4075.0	0	1	0	0
5494.0	0	0	0	1
5501.0	0	0	0	1
5502.0	0	1	0	0
5507.0	0	1	0	0
6243.0	0	0	0	1
6250.0	0	1	0	0
7768.0	0	0	0	1
7783.0	0	1	0	0
12545.0	0	0	0	1
12567.0	0	1	0	0

