## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates --INPUT /hpcfs/home/ing_civil/da.martinez33/UBC/off-target_data/mapping/trimmomatic/Only_MNP_C3_S59_L002.sorted.bam --OUTPUT /hpcfs/home/ing_civil/da.martinez33/UBC/off-target_data/gatk/trimmomatic/markdup/Only_MNP_C3_S59_L002.markdup.bam --METRICS_FILE /hpcfs/home/ing_civil/da.martinez33/UBC/off-target_data/gatk/trimmomatic/metrics/Only_MNP_C3_S59_L002_dup_metrics.txt --REMOVE_DUPLICATES false --TMP_DIR /tmp/da.martinez33_439501 --VALIDATION_STRINGENCY SILENT --MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP 50000 --MAX_FILE_HANDLES_FOR_READ_ENDS_MAP 8000 --SORTING_COLLECTION_SIZE_RATIO 0.25 --TAG_DUPLICATE_SET_MEMBERS false --REMOVE_SEQUENCING_DUPLICATES false --TAGGING_POLICY DontTag --CLEAR_DT true --DUPLEX_UMI false --FLOW_MODE false --FLOW_QUALITY_SUM_STRATEGY false --USE_END_IN_UNPAIRED_READS false --USE_UNPAIRED_CLIPPED_END false --UNPAIRED_END_UNCERTAINTY 0 --FLOW_SKIP_FIRST_N_FLOWS 0 --FLOW_Q_IS_KNOWN_END false --FLOW_EFFECTIVE_QUALITY_THRESHOLD 15 --ADD_PG_TAG_TO_READS true --ASSUME_SORTED false --DUPLICATE_SCORING_STRATEGY SUM_OF_BASE_QUALITIES --PROGRAM_RECORD_ID MarkDuplicates --PROGRAM_GROUP_NAME MarkDuplicates --READ_NAME_REGEX <optimized capture of last three ':' separated fields as numeric values> --OPTICAL_DUPLICATE_PIXEL_DISTANCE 100 --MAX_OPTICAL_DUPLICATE_SET_SIZE 300000 --VERBOSITY INFO --QUIET false --COMPRESSION_LEVEL 2 --MAX_RECORDS_IN_RAM 500000 --CREATE_INDEX false --CREATE_MD5_FILE false --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Tue May 05 21:16:59 COT 2026

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
lib1	1775020	118672378	4671784	5317738	987785	7735667	1511653	0.068832	1063306154

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	optical_sets	non_optical_sets
1.0	1.012196	105275497	0	106651011
2.0	1.9175	5246895	1464234	3980789
3.0	2.727199	220654	22648	116316
4.0	3.451391	50727	632	47338
5.0	4.099106	26375	36	25844
6.0	4.678418	16770	11	16559
7.0	5.196553	11900	3	11678
8.0	5.659971	8949	0	8904
9.0	6.07445	7425	0	7420
10.0	6.445158	6182	0	6108
11.0	6.776717	5343	1	5318
12.0	7.073263	4774	0	4829
13.0	7.338492	4370	0	4356
14.0	7.575712	4160	0	4164
15.0	7.78788	3723	0	3664
16.0	7.977642	3334	0	3385
17.0	8.147365	3116	0	3115
18.0	8.299164	2851	0	2818
19.0	8.434933	2651	0	2621
20.0	8.556364	2511	0	2497
21.0	8.664971	2265	0	2208
22.0	8.762109	2022	0	2062
23.0	8.848989	1861	0	1803
24.0	8.926693	1701	0	1665
25.0	8.996192	1576	0	1579
26.0	9.058352	1487	0	1478
27.0	9.113947	1343	0	1315
28.0	9.163671	1259	0	1205
29.0	9.208144	1179	0	1174
30.0	9.24792	1057	0	1055
31.0	9.283496	1019	0	1029
32.0	9.315315	934	0	893
33.0	9.343774	852	0	796
34.0	9.369227	729	0	747
35.0	9.391993	732	0	723
36.0	9.412354	677	0	676
37.0	9.430565	591	0	573
38.0	9.446853	566	0	563
39.0	9.461421	521	0	503
40.0	9.47445	472	0	449
41.0	9.486103	428	0	436
42.0	9.496526	373	0	318
43.0	9.505848	316	0	318
44.0	9.514186	312	0	334
45.0	9.521643	322	0	311
46.0	9.528313	295	0	275
47.0	9.534278	268	0	267
48.0	9.539613	257	0	238
49.0	9.544385	201	0	203
50.0	9.548653	221	0	206
51.0	9.55247	172	0	160
52.0	9.555884	180	0	186
53.0	9.558938	157	0	173
54.0	9.561669	156	0	136
55.0	9.564112	140	0	129
56.0	9.566297	119	0	106
57.0	9.568251	117	0	123
58.0	9.569998	111	0	113
59.0	9.571561	106	0	101
60.0	9.572959	97	0	88
61.0	9.57421	71	0	59
62.0	9.575328	79	0	87
63.0	9.576328	75	0	73
64.0	9.577223	67	0	58
65.0	9.578023	70	0	68
66.0	9.578739	59	0	56
67.0	9.579379	54	0	53
68.0	9.579951	64	0	68
69.0	9.580463	51	0	59
70.0	9.580921	57	0	46
71.0	9.581331	45	0	37
72.0	9.581697	44	0	47
73.0	9.582025	39	0	33
74.0	9.582318	24	0	22
75.0	9.58258	27	0	32
76.0	9.582814	35	0	31
77.0	9.583024	32	0	26
78.0	9.583212	26	0	22
79.0	9.583379	23	0	33
80.0	9.583529	24	0	21
81.0	9.583663	26	0	23
82.0	9.583783	23	0	26
83.0	9.583891	17	0	20
84.0	9.583987	22	0	16
85.0	9.584073	12	0	10
86.0	9.584149	14	0	8
87.0	9.584218	14	0	16
88.0	9.584279	11	0	9
89.0	9.584334	8	0	15
90.0	9.584384	12	0	10
91.0	9.584427	11	0	7
92.0	9.584467	15	0	12
93.0	9.584502	8	0	8
94.0	9.584533	3	0	10
95.0	9.584562	8	0	9
96.0	9.584587	8	0	3
97.0	9.584609	9	0	8
98.0	9.584629	5	0	7
99.0	9.584647	8	0	4
100.0	9.584663	10	0	11
101.0	0	6	0	8
102.0	0	9	0	5
103.0	0	2	0	3
104.0	0	4	0	3
105.0	0	5	0	1
106.0	0	2	0	3
107.0	0	1	0	1
108.0	0	2	0	5
109.0	0	2	0	3
110.0	0	5	0	3
111.0	0	2	0	5
112.0	0	2	0	2
113.0	0	4	0	1
114.0	0	2	0	1
115.0	0	2	0	3
116.0	0	2	0	2
117.0	0	5	0	3
118.0	0	0	0	2
119.0	0	4	0	2
121.0	0	1	0	3
122.0	0	2	0	1
123.0	0	2	0	0
124.0	0	0	0	1
125.0	0	0	0	1
126.0	0	1	0	0
128.0	0	1	0	0
129.0	0	0	0	1
130.0	0	1	0	2
131.0	0	0	0	1
132.0	0	3	0	2
133.0	0	1	0	0
134.0	0	2	0	1
135.0	0	1	0	1
138.0	0	1	0	3
139.0	0	1	0	0
140.0	0	1	0	1
141.0	0	1	0	0
145.0	0	0	0	1
147.0	0	1	0	0
152.0	0	0	0	1
155.0	0	1	0	0
164.0	0	0	0	1
165.0	0	1	0	0
172.0	0	1	0	1
180.0	0	0	0	1
184.0	0	1	0	0
218.0	0	1	0	1
222.0	0	1	0	1
224.0	0	1	0	1
286.0	0	1	0	1
289.0	0	1	0	1
460.0	0	1	0	1
482.0	0	1	0	1
709.0	0	1	0	1
767.0	0	1	0	1
887.0	0	1	0	1
1577.0	0	1	0	1
2232.0	0	1	0	1
2438.0	0	0	0	1
2439.0	0	1	0	0
3220.0	0	0	0	1
3221.0	0	1	0	0
3238.0	0	0	0	1
3240.0	0	1	0	0
3295.0	0	0	0	1
3301.0	0	1	0	0
4531.0	0	0	0	1
4537.0	0	1	0	0
7430.0	0	0	0	1
7440.0	0	1	0	0

