## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates --INPUT /hpcfs/home/ing_civil/da.martinez33/UBC/off-target_data/mapping/trimmomatic/Plasmid_Ko_P1_S61_L002.sorted.bam --OUTPUT /hpcfs/home/ing_civil/da.martinez33/UBC/off-target_data/gatk/trimmomatic/markdup/Plasmid_Ko_P1_S61_L002.markdup.bam --METRICS_FILE /hpcfs/home/ing_civil/da.martinez33/UBC/off-target_data/gatk/trimmomatic/metrics/Plasmid_Ko_P1_S61_L002_dup_metrics.txt --REMOVE_DUPLICATES false --TMP_DIR /tmp/da.martinez33_439503 --VALIDATION_STRINGENCY SILENT --MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP 50000 --MAX_FILE_HANDLES_FOR_READ_ENDS_MAP 8000 --SORTING_COLLECTION_SIZE_RATIO 0.25 --TAG_DUPLICATE_SET_MEMBERS false --REMOVE_SEQUENCING_DUPLICATES false --TAGGING_POLICY DontTag --CLEAR_DT true --DUPLEX_UMI false --FLOW_MODE false --FLOW_QUALITY_SUM_STRATEGY false --USE_END_IN_UNPAIRED_READS false --USE_UNPAIRED_CLIPPED_END false --UNPAIRED_END_UNCERTAINTY 0 --FLOW_SKIP_FIRST_N_FLOWS 0 --FLOW_Q_IS_KNOWN_END false --FLOW_EFFECTIVE_QUALITY_THRESHOLD 15 --ADD_PG_TAG_TO_READS true --ASSUME_SORTED false --DUPLICATE_SCORING_STRATEGY SUM_OF_BASE_QUALITIES --PROGRAM_RECORD_ID MarkDuplicates --PROGRAM_GROUP_NAME MarkDuplicates --READ_NAME_REGEX <optimized capture of last three ':' separated fields as numeric values> --OPTICAL_DUPLICATE_PIXEL_DISTANCE 100 --MAX_OPTICAL_DUPLICATE_SET_SIZE 300000 --VERBOSITY INFO --QUIET false --COMPRESSION_LEVEL 2 --MAX_RECORDS_IN_RAM 500000 --CREATE_INDEX false --CREATE_MD5_FILE false --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Tue May 05 21:16:59 COT 2026

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
lib1	1754242	120440776	4690813	5533260	966479	7709809	1432722	0.067534	1088115819

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	optical_sets	non_optical_sets
1.0	1.011385	106883980	0	108186424
2.0	1.916796	5455074	1390296	4260358
3.0	2.727336	215521	20357	112358
4.0	3.452947	46778	480	43721
5.0	4.102527	23959	49	23444
6.0	4.684043	14938	5	14715
7.0	5.204627	10524	0	10374
8.0	5.670663	8129	4	8075
9.0	6.087868	6863	0	6855
10.0	6.461357	5750	0	5735
11.0	6.795711	5220	0	5203
12.0	7.095031	4561	0	4529
13.0	7.362988	4216	0	4263
14.0	7.602868	3875	0	3850
15.0	7.817613	3468	0	3475
16.0	8.009857	3256	0	3201
17.0	8.181957	2907	0	2937
18.0	8.336024	2706	0	2726
19.0	8.473948	2543	0	2492
20.0	8.59742	2310	0	2255
21.0	8.707955	2052	0	2097
22.0	8.806907	1934	0	1899
23.0	8.895491	1747	0	1739
24.0	8.974793	1617	1	1578
25.0	9.045786	1466	0	1444
26.0	9.10934	1348	0	1321
27.0	9.166235	1239	0	1245
28.0	9.217168	1106	0	1085
29.0	9.262764	1006	0	1007
30.0	9.303583	966	0	903
31.0	9.340124	874	0	900
32.0	9.372837	866	0	805
33.0	9.402122	699	0	718
34.0	9.428339	678	0	638
35.0	9.451808	526	0	526
36.0	9.472819	533	0	521
37.0	9.491627	513	0	506
38.0	9.508465	435	0	409
39.0	9.523539	404	0	403
40.0	9.537033	375	0	348
41.0	9.549114	321	0	306
42.0	9.559928	272	0	302
43.0	9.56961	319	0	294
44.0	9.578277	272	0	259
45.0	9.586035	215	0	241
46.0	9.592981	217	0	210
47.0	9.599199	220	0	197
48.0	9.604766	179	0	160
49.0	9.609749	165	0	161
50.0	9.61421	162	0	155
51.0	9.618204	133	0	129
52.0	9.621779	112	0	112
53.0	9.624979	106	0	104
54.0	9.627845	118	0	111
55.0	9.63041	89	0	84
56.0	9.632706	81	0	78
57.0	9.634761	79	0	96
58.0	9.636602	83	0	62
59.0	9.638249	72	0	66
60.0	9.639724	51	0	56
61.0	9.641044	57	0	51
62.0	9.642226	46	0	43
63.0	9.643284	46	0	40
64.0	9.644231	36	0	50
65.0	9.645079	45	0	43
66.0	9.645838	45	0	36
67.0	9.646518	30	0	23
68.0	9.647126	24	0	35
69.0	9.647671	37	0	31
70.0	9.648159	26	0	26
71.0	9.648595	35	0	29
72.0	9.648986	16	0	14
73.0	9.649336	19	0	12
74.0	9.649649	13	0	13
75.0	9.649929	15	0	15
76.0	9.65018	9	0	7
77.0	9.650405	13	0	13
78.0	9.650606	10	0	20
79.0	9.650786	15	0	10
80.0	9.650947	12	0	8
81.0	9.651091	10	0	11
82.0	9.65122	9	0	10
83.0	9.651336	4	0	4
84.0	9.65144	7	0	10
85.0	9.651532	9	0	7
86.0	9.651615	10	0	5
87.0	9.651689	6	0	7
88.0	9.651756	9	0	6
89.0	9.651815	4	0	3
90.0	9.651869	4	0	6
91.0	9.651916	3	0	5
92.0	9.651959	7	0	10
93.0	9.651997	9	0	5
94.0	9.652032	1	0	2
95.0	9.652062	7	0	4
96.0	9.65209	3	0	1
97.0	9.652114	2	0	2
98.0	9.652136	5	0	6
99.0	9.652156	2	0	4
100.0	9.652174	5	0	4
101.0	0	3	0	2
102.0	0	5	0	6
103.0	0	2	0	0
104.0	0	2	0	3
105.0	0	3	0	2
106.0	0	2	0	3
107.0	0	0	0	1
108.0	0	3	0	1
109.0	0	1	0	1
110.0	0	2	0	1
112.0	0	1	0	1
116.0	0	0	0	1
117.0	0	0	0	2
118.0	0	3	0	3
119.0	0	4	0	3
120.0	0	2	0	1
121.0	0	1	0	1
123.0	0	2	0	1
126.0	0	1	0	1
127.0	0	0	0	2
128.0	0	1	0	1
129.0	0	3	0	1
130.0	0	0	0	1
131.0	0	1	0	1
133.0	0	1	0	0
143.0	0	0	0	1
144.0	0	1	0	1
145.0	0	1	0	0
147.0	0	2	0	2
148.0	0	1	0	1
150.0	0	0	0	1
151.0	0	1	0	0
172.0	0	1	0	1
179.0	0	0	0	1
180.0	0	1	0	0
192.0	0	1	0	1
232.0	0	1	0	1
237.0	0	1	0	1
294.0	0	0	0	1
295.0	0	1	0	0
340.0	0	1	0	1
388.0	0	1	0	1
433.0	0	1	0	1
479.0	0	1	0	1
589.0	0	1	0	1
596.0	0	1	0	1
886.0	0	0	0	1
889.0	0	1	0	0
899.0	0	1	0	1
937.0	0	1	0	1
1035.0	0	1	0	1
1200.0	0	0	0	1
1201.0	0	1	0	0
2178.0	0	0	0	1
2180.0	0	1	0	0
3192.0	0	1	0	1
4031.0	0	0	0	1
4035.0	0	1	0	0
5203.0	0	0	0	1
5206.0	0	1	0	0
5253.0	0	0	0	1
5257.0	0	1	0	0
6089.0	0	0	0	1
6096.0	0	1	0	0
7558.0	0	0	0	1
7563.0	0	1	0	0
12367.0	0	0	0	1
12390.0	0	1	0	0

