## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates --INPUT /hpcfs/home/ing_civil/da.martinez33/UBC/off-target_data/mapping/trimmomatic/RNP_Cas4_S68_L002.sorted.bam --OUTPUT /hpcfs/home/ing_civil/da.martinez33/UBC/off-target_data/gatk/trimmomatic/markdup/RNP_Cas4_S68_L002.markdup.bam --METRICS_FILE /hpcfs/home/ing_civil/da.martinez33/UBC/off-target_data/gatk/trimmomatic/metrics/RNP_Cas4_S68_L002_dup_metrics.txt --REMOVE_DUPLICATES false --TMP_DIR /tmp/da.martinez33_439491 --VALIDATION_STRINGENCY SILENT --MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP 50000 --MAX_FILE_HANDLES_FOR_READ_ENDS_MAP 8000 --SORTING_COLLECTION_SIZE_RATIO 0.25 --TAG_DUPLICATE_SET_MEMBERS false --REMOVE_SEQUENCING_DUPLICATES false --TAGGING_POLICY DontTag --CLEAR_DT true --DUPLEX_UMI false --FLOW_MODE false --FLOW_QUALITY_SUM_STRATEGY false --USE_END_IN_UNPAIRED_READS false --USE_UNPAIRED_CLIPPED_END false --UNPAIRED_END_UNCERTAINTY 0 --FLOW_SKIP_FIRST_N_FLOWS 0 --FLOW_Q_IS_KNOWN_END false --FLOW_EFFECTIVE_QUALITY_THRESHOLD 15 --ADD_PG_TAG_TO_READS true --ASSUME_SORTED false --DUPLICATE_SCORING_STRATEGY SUM_OF_BASE_QUALITIES --PROGRAM_RECORD_ID MarkDuplicates --PROGRAM_GROUP_NAME MarkDuplicates --READ_NAME_REGEX <optimized capture of last three ':' separated fields as numeric values> --OPTICAL_DUPLICATE_PIXEL_DISTANCE 100 --MAX_OPTICAL_DUPLICATE_SET_SIZE 300000 --VERBOSITY INFO --QUIET false --COMPRESSION_LEVEL 2 --MAX_RECORDS_IN_RAM 500000 --CREATE_INDEX false --CREATE_MD5_FILE false --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Tue May 05 21:52:41 COT 2026

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
lib1	2420607	156432733	6194669	7364719	1449496	10247483	1850403	0.069602	1370849541

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	optical_sets	non_optical_sets
1.0	1.0113	138797611	0	140481128
2.0	1.913539	6829687	1794692	5279680
3.0	2.718477	297599	26505	170707
4.0	3.436607	75085	761	70761
5.0	4.077292	38582	69	37793
6.0	4.648883	23451	11	23080
7.0	5.158831	15675	7	15446
8.0	5.613786	11374	0	11173
9.0	6.019676	8662	0	8641
10.0	6.381793	7148	1	7053
11.0	6.704859	5920	1	5886
12.0	6.993084	5281	1	5317
13.0	7.250226	4746	0	4707
14.0	7.479636	4306	0	4329
15.0	7.684307	3911	0	3837
16.0	7.866905	3599	1	3633
17.0	8.029811	3337	0	3335
18.0	8.175148	3194	0	3184
19.0	8.304812	2917	0	2921
20.0	8.420493	2779	0	2799
21.0	8.523698	2542	0	2524
22.0	8.615773	2365	0	2330
23.0	8.697918	2174	0	2119
24.0	8.771205	2015	0	2011
25.0	8.836588	1926	0	1966
26.0	8.89492	1840	0	1815
27.0	8.946961	1774	0	1778
28.0	8.99339	1623	0	1597
29.0	9.034812	1514	0	1494
30.0	9.071766	1328	0	1333
31.0	9.104736	1290	0	1274
32.0	9.13415	1246	0	1208
33.0	9.160392	1131	0	1133
34.0	9.183803	1109	0	1105
35.0	9.20469	1000	0	981
36.0	9.223325	939	0	951
37.0	9.23995	891	0	868
38.0	9.254782	855	0	827
39.0	9.268014	765	0	760
40.0	9.279819	763	0	747
41.0	9.290352	726	0	683
42.0	9.299748	671	0	665
43.0	9.308131	591	0	590
44.0	9.31561	551	0	546
45.0	9.322283	485	0	499
46.0	9.328236	551	0	516
47.0	9.333546	494	0	480
48.0	9.338285	435	0	455
49.0	9.342512	434	0	432
50.0	9.346283	398	0	372
51.0	9.349648	370	0	361
52.0	9.352649	353	0	304
53.0	9.355327	261	0	292
54.0	9.357717	299	0	300
55.0	9.359848	292	0	272
56.0	9.36175	256	0	248
57.0	9.363447	227	0	219
58.0	9.36496	230	0	230
59.0	9.366311	208	0	197
60.0	9.367515	206	0	196
61.0	9.36859	187	0	193
62.0	9.369549	179	0	170
63.0	9.370405	185	0	178
64.0	9.371168	148	0	145
65.0	9.371849	145	0	148
66.0	9.372456	150	0	147
67.0	9.372998	117	0	117
68.0	9.373482	137	0	116
69.0	9.373913	102	0	121
70.0	9.374298	108	0	106
71.0	9.374641	116	0	93
72.0	9.374948	87	0	90
73.0	9.375221	87	0	77
74.0	9.375465	83	0	82
75.0	9.375682	80	0	73
76.0	9.375876	58	0	58
77.0	9.37605	64	0	65
78.0	9.376204	67	0	75
79.0	9.376342	65	0	62
80.0	9.376465	54	0	46
81.0	9.376575	61	0	60
82.0	9.376672	57	0	50
83.0	9.37676	52	0	52
