.	Basic Statistics	Per Base Sequence Quality	Per Tile Sequence Quality	Per Sequence Quality Scores	Per Base Sequence Content	Per Sequence GC Content	Per Base N Content	Sequence Length Distribution	Sequence Duplication Levels	Overrepresented Sequences	Adapter Content
raw_fastq | fastqc_results | Control_MNP_III_S56_L002_R1_001	1	1	0.25	1	1	0.5	1	1	1	1	1
raw_fastq | fastqc_results | Control_MNP_III_S56_L002_R2_001	1	1	0.25	1	1	0.5	1	1	1	0.5	1
raw_fastq | fastqc_results | Control_MNP_II_S55_L002_R1_001	1	1	0.25	1	1	0.5	1	1	1	1	1
raw_fastq | fastqc_results | Control_MNP_II_S55_L002_R2_001	1	1	0.25	1	1	0.5	1	1	1	0.5	1
raw_fastq | fastqc_results | Control_MNP_I_S54_L002_R1_001	1	1	0.25	1	1	0.5	1	1	1	1	1
raw_fastq | fastqc_results | Control_MNP_I_S54_L002_R2_001	1	1	0.25	1	1	0.5	1	1	1	0.5	1
raw_fastq | fastqc_results | Only_MNP_C1_S57_L002_R1_001	1	1	0.25	1	1	0.5	1	1	1	1	1
raw_fastq | fastqc_results | Only_MNP_C1_S57_L002_R2_001	1	1	0.25	1	1	0.5	1	1	1	0.5	1
raw_fastq | fastqc_results | Only_MNP_C2_S58_L002_R1_001	1	1	0.25	1	1	0.5	1	1	1	1	1
raw_fastq | fastqc_results | Only_MNP_C2_S58_L002_R2_001	1	1	0.25	1	1	0.5	1	1	1	0.5	1
raw_fastq | fastqc_results | Only_MNP_C3_S59_L002_R1_001	1	1	0.25	1	1	0.5	1	1	1	1	1
raw_fastq | fastqc_results | Only_MNP_C3_S59_L002_R2_001	1	1	0.25	1	1	0.5	1	1	1	0.5	1
raw_fastq | fastqc_results | Only_MNP_C4_S60_L002_R1_001	1	1	0.25	1	1	0.5	1	1	1	1	1
raw_fastq | fastqc_results | Only_MNP_C4_S60_L002_R2_001	1	1	0.25	1	1	0.5	1	1	1	0.5	1
raw_fastq | fastqc_results | Plasmid_Ko_P1_S61_L002_R1_001	1	1	0.25	1	1	0.5	1	1	1	1	1
raw_fastq | fastqc_results | Plasmid_Ko_P1_S61_L002_R2_001	1	1	0.25	1	1	0.5	1	1	1	0.5	1
raw_fastq | fastqc_results | Plasmid_Ko_P2_S62_L002_R1_001	1	1	0.25	1	1	0.5	1	1	1	1	1
raw_fastq | fastqc_results | Plasmid_Ko_P2_S62_L002_R2_001	1	1	0.25	1	1	0.5	1	1	1	0.5	1
raw_fastq | fastqc_results | Plasmid_Ko_P3_S63_L002_R1_001	1	1	0.25	1	1	0.5	1	1	1	1	1
raw_fastq | fastqc_results | Plasmid_Ko_P3_S63_L002_R2_001	1	1	0.25	1	1	0.5	1	1	1	0.5	1
raw_fastq | fastqc_results | Plasmid_Ko_P4_S64_L002_R1_001	1	1	0.25	1	1	0.5	1	1	1	1	1
raw_fastq | fastqc_results | Plasmid_Ko_P4_S64_L002_R2_001	1	1	0.25	1	1	0.5	1	1	1	0.5	1
raw_fastq | fastqc_results | RNP_Cas1_S65_L002_R1_001	1	1	0.25	1	1	0.5	1	1	1	1	1
raw_fastq | fastqc_results | RNP_Cas1_S65_L002_R2_001	1	1	0.25	1	1	0.5	1	1	1	0.5	1
raw_fastq | fastqc_results | RNP_Cas2_S66_L002_R1_001	1	1	0.25	1	1	0.5	1	1	1	1	1
raw_fastq | fastqc_results | RNP_Cas2_S66_L002_R2_001	1	1	0.25	1	1	0.5	1	1	1	0.5	1
raw_fastq | fastqc_results | RNP_Cas3_S67_L002_R1_001	1	1	0.25	1	1	0.5	1	1	1	1	1
raw_fastq | fastqc_results | RNP_Cas3_S67_L002_R2_001	1	1	0.25	1	1	0.5	1	1	1	0.5	1
raw_fastq | fastqc_results | RNP_Cas4_S68_L002_R1_001	1	1	0.25	1	1	0.5	1	1	1	1	1
raw_fastq | fastqc_results | RNP_Cas4_S68_L002_R2_001	1	1	0.25	1	1	0.5	1	1	1	0.5	1
