Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35
raw_fastq | fastqc_results | Control_MNP_III_S56_L002_R1_001 - illumina_universal_adapter	(1, 8.976499457097573e-06)	(2, 1.271670756422156e-05)	(3, 1.570887404992075e-05)	(4, 1.645691567134555e-05)	(5, 2.618145674986792e-05)	(6, 3.29138313426911e-05)	(7, 4.488249728548786e-05)	(8, 5.161487187831104e-05)	(9, 6.6575704306807e-05)	(10, 0.00015484461563493312)	(15, 0.0004492737978277335)	(20, 0.0010839123094445319)	(25, 0.002097059881502278)	(30, 0.0034592436741168347)	(35, 0.005136352989351231)	(40, 0.007116419161262671)	(45, 0.009321945077871544)	(50, 0.01185152262488164)	(55, 0.014615686024370553)	(60, 0.01777002793359464)	(65, 0.021112726723093493)	(70, 0.024820170607199075)	(75, 0.028773121751456278)	(80, 0.03300703732872063)	(85, 0.03756979200276332)	(90, 0.042225752662835556)	(95, 0.047147866531810724)	(100, 0.052324613768718886)	(105, 0.05783887738521393)	(110, 0.06401979569472274)	(115, 0.07104270965330732)	(120, 0.0793687121164139)	(125, 0.08933008317227933)	(130, 0.10191034794475304)	(135, 0.11780802769992141)	(140, 0.12923466268383374)
raw_fastq | fastqc_results | Control_MNP_III_S56_L002_R2_001 - illumina_universal_adapter	(1, 5.9843329713983815e-06)	(2, 1.1968665942796763e-05)	(3, 1.4212790807071157e-05)	(4, 1.8701040535619945e-05)	(5, 2.6929498371292716e-05)	(6, 3.36618729641159e-05)	(7, 4.189033079978867e-05)	(8, 5.011878863546145e-05)	(9, 6.73237459282318e-05)	(10, 0.00014706498277211523)	(15, 0.00044807693123345384)	(20, 0.0011443540724556556)	(25, 0.002375181756348018)	(30, 0.00406575582076806)	(35, 0.006110153572122032)	(40, 0.008545178658184034)	(45, 0.011236782020394739)	(50, 0.014275925519919411)	(55, 0.01748652015907464)	(60, 0.021028347628196775)	(65, 0.024717240080091022)	(70, 0.028685600881749575)	(75, 0.03285653135448996)	(80, 0.03726878005430199)	(85, 0.04197426106971254)	(90, 0.04673838854824278)	(95, 0.05180218150031581)	(100, 0.057044307574936504)	(105, 0.06262409963746837)	(110, 0.06888984586684674)	(115, 0.07601209975275654)	(120, 0.08438612648795857)	(125, 0.09439013591624526)	(130, 0.10702590537702865)	(135, 0.12299060966147668)	(140, 0.13443429999435752)
raw_fastq | fastqc_results | Control_MNP_II_S55_L002_R1_001 - illumina_universal_adapter	(1, 3.128135711665342e-06)	(2, 8.602373207079691e-06)	(3, 1.564067855832671e-05)	(4, 2.1896949981657394e-05)	(5, 3.362745890040243e-05)	(6, 4.144779817956578e-05)	(7, 5.161423924247814e-05)	(8, 5.4742374954143484e-05)	(9, 7.038305351247019e-05)	(10, 0.00013513546274394276)	(15, 0.0004266777110711527)	(20, 0.0010713864812453796)	(25, 0.0021097711307326897)	(30, 0.003529631930257588)	(35, 0.005352083795873817)	(40, 0.00756930638830221)	(45, 0.009994237191985184)	(50, 0.012691159395797458)	(55, 0.015621909744056717)	(60, 0.018947430819128145)	(65, 0.022621269805693504)	(70, 0.026590561210225655)	(75, 0.030917398526601157)	(80, 0.035513881141322215)	(85, 0.040367809325113316)	(90, 0.04532840693667223)	(95, 0.05037158733101908)	(100, 0.0555423956624019)	(105, 0.060744954571258114)	(110, 0.06600679165185039)	(115, 0.0713186789038293)	(120, 0.07695276413410976)	(125, 0.08293188273338689)	(130, 0.08922584819204313)	(135, 0.09625602039043982)	(140, 0.1008636078869373)
raw_fastq | fastqc_results | Control_MNP_II_S55_L002_R2_001 - illumina_universal_adapter	(1, 2.3461017837490063e-06)	(2, 7.03830535124702e-06)	(3, 1.3294576774577704e-05)	(4, 1.6422712486243045e-05)	(5, 2.6589153549155408e-05)	(6, 3.597356068415143e-05)	(7, 4.770406960289647e-05)	(8, 5.4742374954143484e-05)	(9, 6.881898565663753e-05)	(10, 0.00013200732703227744)	(15, 0.0004315263214242339)	(20, 0.0011610075693845915)	(25, 0.002516272366463601)	(30, 0.004412391828089548)	(35, 0.006840294360698604)	(40, 0.009703946197942641)	(45, 0.012783595806077172)	(50, 0.016179343527875485)	(55, 0.0198283138355331)	(60, 0.023787125985431177)	(65, 0.028034508654730377)	(70, 0.03250946319705323)	(75, 0.0372778368691303)	(80, 0.04229427170314243)	(85, 0.0474794694587989)	(90, 0.05274412186153167)	(95, 0.05805053487601517)	(100, 0.0634156004350924)	(105, 0.06882430348734735)	(110, 0.07432372247524062)	(115, 0.07986552770202693)	(120, 0.08566587334538239)	(125, 0.09179342198417804)	(130, 0.09821094880344508)	(135, 0.10540534812670418)	(140, 0.11014322247559252)
raw_fastq | fastqc_results | Control_MNP_I_S54_L002_R1_001 - illumina_universal_adapter	(1, 7.970590497769673e-06)	(2, 9.564708597323608e-06)	(3, 1.3550003846208444e-05)	(4, 1.833235814487025e-05)	(5, 2.6302948642639923e-05)	(6, 3.347648009063263e-05)	(7, 4.3041188687956234e-05)	(8, 5.4997074434610746e-05)	(9, 7.173531447992706e-05)	(10, 0.0001559047501363748)	(15, 0.000477278959006448)	(20, 0.001121462083036193)	(25, 0.002197332388425144)	(30, 0.0037152516428204004)	(35, 0.005609063945090474)	(40, 0.007790933387949945)	(45, 0.010274888210674887)	(50, 0.013135214316704513)	(55, 0.016179661063232615)	(60, 0.01952093259989766)	(65, 0.023131291271767412)	(70, 0.027147671823593556)	(75, 0.0314184736241085)	(80, 0.035850440764488345)	(85, 0.04053316268192803)	(90, 0.04535122522601985)	(95, 0.05032471428481816)	(100, 0.05537838748402404)	(105, 0.06048243481517583)	(110, 0.0657487633688622)	(115, 0.07125723846187085)	(120, 0.0770182218618488)	(125, 0.08315876478133057)	(130, 0.09000534260710476)	(135, 0.0977194395026562)	(140, 0.10281742918502967)
raw_fastq | fastqc_results | Control_MNP_I_S54_L002_R2_001 - illumina_universal_adapter	(1, 8.76764954754664e-06)	(2, 9.564708597323608e-06)	(3, 1.1158826696877543e-05)	(4, 1.514412194576238e-05)	(5, 2.3114712443532052e-05)	(6, 2.7897066742193858e-05)	(7, 3.586765723996353e-05)	(8, 4.6229424887064104e-05)	(9, 6.217060588260346e-05)	(10, 0.00014920945411824827)	(15, 0.000477278959006448)	(20, 0.0011900091613170122)	(25, 0.0025713124945804964)	(30, 0.00454371481915858)	(35, 0.006994193161792889)	(40, 0.009834592791578091)	(45, 0.013018843695437075)	(50, 0.01658058176527043)	(55, 0.02031767282605472)	(60, 0.02429611336711147)	(65, 0.028472543376132826)	(70, 0.03296142053266675)	(75, 0.037680169519156356)	(80, 0.0424873920601712)	(85, 0.04750886407376609)	(90, 0.05262040375998578)	(95, 0.05783524229905658)	(100, 0.06316836440111426)	(105, 0.0685623818145749)	(110, 0.07406814690681429)	(115, 0.07983757913271988)	(120, 0.08583098495161282)	(125, 0.09212408497322189)	(130, 0.09909117812732235)	(135, 0.10690331328599637)	(140, 0.11205135827669585)
raw_fastq | fastqc_results | Only_MNP_C1_S57_L002_R1_001 - illumina_universal_adapter	(1, 6.996819097355937e-06)	(2, 1.311903580754238e-05)	(3, 1.8366650130559332e-05)	(4, 2.273966206640679e-05)	(5, 3.2360288325271205e-05)	(6, 3.5858697873949175e-05)	(7, 4.8103131294322064e-05)	(8, 5.859835994035597e-05)	(9, 7.521580529657631e-05)	(10, 0.00015270557679979328)	(15, 0.0004726351300263935)	(20, 0.0010892298129808852)	(25, 0.002161317419173249)	(30, 0.003634147839166673)	(35, 0.005443700178220353)	(40, 0.007533824963078005)	(45, 0.009947552631188369)	(50, 0.012727738699522751)	(55, 0.0157564867662907)	(60, 0.019093619634774614)	(65, 0.022816976917432577)	(70, 0.026823880294010886)	(75, 0.031212809993304835)	(80, 0.03576511541852204)	(85, 0.040526275893795316)	(90, 0.0454536108226308)	(95, 0.050494818982275744)	(100, 0.05563485721167085)	(105, 0.06092900038168523)	(110, 0.06626897271678728)	(115, 0.07175063063861079)	(120, 0.07747525310358998)	(125, 0.08364399866077384)	(130, 0.0903835097358245)	(135, 0.09797995622982385)	(140, 0.1028978454528779)
raw_fastq | fastqc_results | Only_MNP_C1_S57_L002_R2_001 - illumina_universal_adapter	(1, 7.871421484525427e-06)	(2, 1.0495228646033905e-05)	(3, 1.5742842969050855e-05)	(4, 2.0115854904898317e-05)	(5, 2.9736481163762728e-05)	(6, 3.498409548677968e-05)	(7, 4.4604721745644094e-05)	(8, 5.422534800450851e-05)	(9, 6.996819097355936e-05)	(10, 0.00014535891674756957)	(15, 0.0004738595733684308)	(20, 0.0011651453001871972)	(25, 0.002501362827304747)	(30, 0.004397500802688206)	(35, 0.006731639653566146)	(40, 0.009449204190979192)	(45, 0.012558240756889303)	(50, 0.01604930364551505)	(55, 0.019797149795013753)	(60, 0.023800554762043385)	(65, 0.02807176298002432)	(70, 0.032511594538251525)	(75, 0.03731368640524434)	(80, 0.0422125092962581)	(85, 0.04727680695892432)	(90, 0.052470370854414194)	(95, 0.057724981996528514)	(100, 0.06313474760212669)	(105, 0.06858946777042538)	(110, 0.07414389261086138)	(115, 0.07979294942958913)	(120, 0.08569634062250578)	(125, 0.09196986354567253)	(130, 0.09881030373620256)	(135, 0.10650488061804234)	(140, 0.11148993930443099)
raw_fastq | fastqc_results | Only_MNP_C3_S59_L002_R1_001 - illumina_universal_adapter	(1, 1.777701052918597e-05)	(2, 2.1009194261765235e-05)	(3, 2.6665515793778954e-05)	(4, 2.9089653593213404e-05)	(5, 3.232183732579267e-05)	(6, 3.87862047909512e-05)	(7, 4.5250572256109736e-05)	(8, 5.090689378812346e-05)	(9, 6.141149091900607e-05)	(10, 0.00014059999236719811)	(15, 0.00043521353959179827)	(20, 0.0011113863764473809)	(25, 0.0022198637875354404)	(30, 0.0037364043948616326)	(35, 0.005611232568944237)	(40, 0.007831904402412822)	(45, 0.010396965412587727)	(50, 0.013181330089018136)	(55, 0.01628309520798783)	(60, 0.01970549295322939)	(65, 0.023430746314213623)	(70, 0.02730823552900234)	(75, 0.03156793047016856)	(80, 0.03605307022668218)	(85, 0.040714525605807995)	(90, 0.04552256051720628)	(95, 0.05042820737732846)	(100, 0.055312360215629)	(105, 0.0603464863791212)	(110, 0.06548614334148213)	(115, 0.07077932903114056)	(120, 0.07629327286973417)	(125, 0.0821338288745049)	(130, 0.08868465725450991)	(135, 0.09608587317455655)	(140, 0.10095321865744768)
raw_fastq | fastqc_results | Only_MNP_C3_S59_L002_R2_001 - illumina_universal_adapter	(1, 1.1312643064027434e-05)	(2, 1.6160918662896335e-05)	(3, 2.2625286128054868e-05)	(4, 2.6665515793778954e-05)	(5, 3.070574545950304e-05)	(6, 3.717011292466157e-05)	(7, 4.36344803898201e-05)	(8, 4.7674710055544186e-05)	(9, 5.817930718642681e-05)	(10, 0.00013478206164855544)	(15, 0.00044426365404302023)	(20, 0.001199140164786908)	(25, 0.0025778281359185944)	(30, 0.004525218834797602)	(35, 0.006880834339101373)	(40, 0.009648876487682256)	(45, 0.012829991717286774)	(50, 0.016260954749419663)	(55, 0.019983622363417837)	(60, 0.024034033407899544)	(65, 0.028348352254146347)	(70, 0.03275478833677166)	(75, 0.03742125360068298)	(80, 0.04228795264682758)	(85, 0.0473109277764424)	(90, 0.05240856635027978)	(95, 0.05753884997981623)	(100, 0.06266477016131368)	(105, 0.06791690711756837)	(110, 0.07334552130562186)	(115, 0.0789494814611678)	(120, 0.0847016372408525)	(125, 0.09075357806173392)	(130, 0.0974113917232873)	(135, 0.10497971154230831)	(140, 0.10993303311248603)
