Sample	Top overrepresented sequence	Sum of remaining overrepresented sequences
raw_fastq | fastqc_results | Control_MNP_III_S56_L002_R1_001	0.0	0.0
raw_fastq | fastqc_results | Control_MNP_III_S56_L002_R2_001	0.23518353773433498	0.0
raw_fastq | fastqc_results | Control_MNP_II_S55_L002_R1_001	0.0	0.0
raw_fastq | fastqc_results | Control_MNP_II_S55_L002_R2_001	0.2506778474578697	0.0
raw_fastq | fastqc_results | Control_MNP_I_S54_L002_R1_001	0.0	0.0
raw_fastq | fastqc_results | Control_MNP_I_S54_L002_R2_001	0.24237928056477756	0.0
raw_fastq | fastqc_results | Only_MNP_C1_S57_L002_R1_001	0.0	0.0
raw_fastq | fastqc_results | Only_MNP_C1_S57_L002_R2_001	0.2289149304081942	0.0
raw_fastq | fastqc_results | Only_MNP_C2_S58_L002_R1_001	0.0	0.0
raw_fastq | fastqc_results | Only_MNP_C2_S58_L002_R2_001	0.17507903235472402	0.0
raw_fastq | fastqc_results | Only_MNP_C3_S59_L002_R1_001	0.0	0.0
raw_fastq | fastqc_results | Only_MNP_C3_S59_L002_R2_001	0.2072799427703084	0.0
raw_fastq | fastqc_results | Only_MNP_C4_S60_L002_R1_001	0.0	0.0
raw_fastq | fastqc_results | Only_MNP_C4_S60_L002_R2_001	0.22584162079679876	0.0
raw_fastq | fastqc_results | Plasmid_Ko_P1_S61_L002_R1_001	0.0	0.0
raw_fastq | fastqc_results | Plasmid_Ko_P1_S61_L002_R2_001	0.2277238301364744	0.0
raw_fastq | fastqc_results | Plasmid_Ko_P2_S62_L002_R1_001	0.0	0.0
raw_fastq | fastqc_results | Plasmid_Ko_P2_S62_L002_R2_001	0.21535232807268814	0.0
raw_fastq | fastqc_results | Plasmid_Ko_P3_S63_L002_R1_001	0.0	0.0
raw_fastq | fastqc_results | Plasmid_Ko_P3_S63_L002_R2_001	0.20514562837806	0.0
raw_fastq | fastqc_results | Plasmid_Ko_P4_S64_L002_R1_001	0.0	0.0
raw_fastq | fastqc_results | Plasmid_Ko_P4_S64_L002_R2_001	0.22382912452962364	0.0
raw_fastq | fastqc_results | RNP_Cas1_S65_L002_R1_001	0.0	0.0
raw_fastq | fastqc_results | RNP_Cas1_S65_L002_R2_001	0.24388948843760985	0.0
raw_fastq | fastqc_results | RNP_Cas2_S66_L002_R1_001	0.0	0.0
raw_fastq | fastqc_results | RNP_Cas2_S66_L002_R2_001	0.2439204191423538	0.0
raw_fastq | fastqc_results | RNP_Cas3_S67_L002_R1_001	0.0	0.0
raw_fastq | fastqc_results | RNP_Cas3_S67_L002_R2_001	0.1898249087638426	0.0
raw_fastq | fastqc_results | RNP_Cas4_S68_L002_R1_001	0.0	0.0
raw_fastq | fastqc_results | RNP_Cas4_S68_L002_R2_001	0.2547837833213318	0.0
trimmed_fastp | fastqc_results | Control_MNP_III_S56_L002_R1_filtered	0.0	0.0
trimmed_fastp | fastqc_results | Control_MNP_III_S56_L002_R2_filtered	0.0	0.0
trimmed_fastp | fastqc_results | Control_MNP_II_S55_L002_R1_filtered	0.0	0.0
trimmed_fastp | fastqc_results | Control_MNP_II_S55_L002_R2_filtered	0.0	0.0
trimmed_fastp | fastqc_results | Control_MNP_I_S54_L002_R1_filtered	0.0	0.0
trimmed_fastp | fastqc_results | Control_MNP_I_S54_L002_R2_filtered	0.0	0.0
trimmed_fastp | fastqc_results | Only_MNP_C1_S57_L002_R1_filtered	0.0	0.0
trimmed_fastp | fastqc_results | Only_MNP_C1_S57_L002_R2_filtered	0.0	0.0
trimmed_fastp | fastqc_results | Only_MNP_C2_S58_L002_R1_filtered	0.0	0.0
trimmed_fastp | fastqc_results | Only_MNP_C2_S58_L002_R2_filtered	0.0	0.0
trimmed_fastp | fastqc_results | Only_MNP_C3_S59_L002_R1_filtered	0.0	0.0
trimmed_fastp | fastqc_results | Only_MNP_C3_S59_L002_R2_filtered	0.0	0.0
trimmed_fastp | fastqc_results | Only_MNP_C4_S60_L002_R1_filtered	0.0	0.0
trimmed_fastp | fastqc_results | Only_MNP_C4_S60_L002_R2_filtered	0.0	0.0
trimmed_fastp | fastqc_results | Plasmid_Ko_P1_S61_L002_R1_filtered	0.0	0.0
trimmed_fastp | fastqc_results | Plasmid_Ko_P1_S61_L002_R2_filtered	0.0	0.0
trimmed_fastp | fastqc_results | Plasmid_Ko_P2_S62_L002_R1_filtered	0.0	0.0
trimmed_fastp | fastqc_results | Plasmid_Ko_P2_S62_L002_R2_filtered	0.0	0.0
trimmed_fastp | fastqc_results | Plasmid_Ko_P3_S63_L002_R1_filtered	0.0	0.0
trimmed_fastp | fastqc_results | Plasmid_Ko_P3_S63_L002_R2_filtered	0.0	0.0
trimmed_fastp | fastqc_results | Plasmid_Ko_P4_S64_L002_R1_filtered	0.0	0.0
trimmed_fastp | fastqc_results | Plasmid_Ko_P4_S64_L002_R2_filtered	0.0	0.0
trimmed_fastp | fastqc_results | RNP_Cas1_S65_L002_R1_filtered	0.0	0.0
trimmed_fastp | fastqc_results | RNP_Cas1_S65_L002_R2_filtered	0.0	0.0
trimmed_fastp | fastqc_results | RNP_Cas2_S66_L002_R1_filtered	0.0	0.0
trimmed_fastp | fastqc_results | RNP_Cas2_S66_L002_R2_filtered	0.0	0.0
trimmed_fastp | fastqc_results | RNP_Cas3_S67_L002_R1_filtered	0.0	0.0
trimmed_fastp | fastqc_results | RNP_Cas3_S67_L002_R2_filtered	0.0	0.0
trimmed_fastp | fastqc_results | RNP_Cas4_S68_L002_R1_filtered	0.0	0.0
trimmed_fastp | fastqc_results | RNP_Cas4_S68_L002_R2_filtered	0.0	0.0
trimmed_trimmomatic | fastqc_results | Control_MNP_III_S56_L002_R1_paired	0.0	0.0
trimmed_trimmomatic | fastqc_results | Control_MNP_III_S56_L002_R1_unpaired	0.5044810584549656	1.344355145037364
trimmed_trimmomatic | fastqc_results | Control_MNP_III_S56_L002_R2_paired	0.1748990117712511	0.0
trimmed_trimmomatic | fastqc_results | Control_MNP_III_S56_L002_R2_unpaired	4.227341421731332	0.0
trimmed_trimmomatic | fastqc_results | Control_MNP_II_S55_L002_R1_paired	0.0	0.0
trimmed_trimmomatic | fastqc_results | Control_MNP_II_S55_L002_R1_unpaired	0.3491125147307494	0.4961523389681945
trimmed_trimmomatic | fastqc_results | Control_MNP_II_S55_L002_R2_paired	0.18778371441383382	0.0
trimmed_trimmomatic | fastqc_results | Control_MNP_II_S55_L002_R2_unpaired	3.1293248504037354	0.0
trimmed_trimmomatic | fastqc_results | Control_MNP_I_S54_L002_R1_paired	0.0	0.0
trimmed_trimmomatic | fastqc_results | Control_MNP_I_S54_L002_R1_unpaired	0.3146650840764122	0.5178389813588928
trimmed_trimmomatic | fastqc_results | Control_MNP_I_S54_L002_R2_paired	0.17918202912809958	0.0
trimmed_trimmomatic | fastqc_results | Control_MNP_I_S54_L002_R2_unpaired	3.7375373086937196	0.0
trimmed_trimmomatic | fastqc_results | Only_MNP_C1_S57_L002_R1_paired	0.0	0.0
trimmed_trimmomatic | fastqc_results | Only_MNP_C1_S57_L002_R1_unpaired	0.2868385749939957	0.5443631790955772
trimmed_trimmomatic | fastqc_results | Only_MNP_C1_S57_L002_R2_paired	0.1704493250825157	0.0
trimmed_trimmomatic | fastqc_results | Only_MNP_C1_S57_L002_R2_unpaired	3.5632071755620367	0.0
trimmed_trimmomatic | fastqc_results | Only_MNP_C2_S58_L002_R1_paired	0.0	0.0
trimmed_trimmomatic | fastqc_results | Only_MNP_C2_S58_L002_R1_unpaired	0.19134587491365815	0.26013589809249427
trimmed_trimmomatic | fastqc_results | Only_MNP_C2_S58_L002_R2_paired	0.129266971513645	0.0
trimmed_trimmomatic | fastqc_results | Only_MNP_C2_S58_L002_R2_unpaired	2.1182330056306196	0.0
trimmed_trimmomatic | fastqc_results | Only_MNP_C3_S59_L002_R1_paired	0.0	0.0
trimmed_trimmomatic | fastqc_results | Only_MNP_C3_S59_L002_R1_unpaired	0.21932344685237004	0.2926391238464807
trimmed_trimmomatic | fastqc_results | Only_MNP_C3_S59_L002_R2_paired	0.1492160487281015	0.0
trimmed_trimmomatic | fastqc_results | Only_MNP_C3_S59_L002_R2_unpaired	2.7598620573639496	0.0
trimmed_trimmomatic | fastqc_results | Only_MNP_C4_S60_L002_R1_paired	0.0	0.0
trimmed_trimmomatic | fastqc_results | Only_MNP_C4_S60_L002_R1_unpaired	0.41804619711616603	0.9306416229465864
trimmed_trimmomatic | fastqc_results | Only_MNP_C4_S60_L002_R2_paired	0.16187966019851513	0.0
trimmed_trimmomatic | fastqc_results | Only_MNP_C4_S60_L002_R2_unpaired	3.4456854291135217	0.0
trimmed_trimmomatic | fastqc_results | Plasmid_Ko_P1_S61_L002_R1_paired	0.0	0.0
trimmed_trimmomatic | fastqc_results | Plasmid_Ko_P1_S61_L002_R1_unpaired	0.3829828299792827	0.6124923535738579
trimmed_trimmomatic | fastqc_results | Plasmid_Ko_P1_S61_L002_R2_paired	0.16857138037847377	0.0
trimmed_trimmomatic | fastqc_results | Plasmid_Ko_P1_S61_L002_R2_unpaired	3.489331938650771	0.0
trimmed_trimmomatic | fastqc_results | Plasmid_Ko_P2_S62_L002_R1_paired	0.0	0.0
trimmed_trimmomatic | fastqc_results | Plasmid_Ko_P2_S62_L002_R1_unpaired	0.15387182437676009	0.24761164168249986
trimmed_trimmomatic | fastqc_results | Plasmid_Ko_P2_S62_L002_R2_paired	0.15075494210954526	0.0
trimmed_trimmomatic | fastqc_results | Plasmid_Ko_P2_S62_L002_R2_unpaired	2.5849778770709846	0.0
trimmed_trimmomatic | fastqc_results | Plasmid_Ko_P3_S63_L002_R1_paired	0.0	0.0
trimmed_trimmomatic | fastqc_results | Plasmid_Ko_P3_S63_L002_R1_unpaired	0.14317694120206226	0.0
trimmed_trimmomatic | fastqc_results | Plasmid_Ko_P3_S63_L002_R2_paired	0.15084127894051239	0.0
trimmed_trimmomatic | fastqc_results | Plasmid_Ko_P3_S63_L002_R2_unpaired	2.1449077803250924	0.0
trimmed_trimmomatic | fastqc_results | Plasmid_Ko_P4_S64_L002_R1_paired	0.0	0.0
trimmed_trimmomatic | fastqc_results | Plasmid_Ko_P4_S64_L002_R1_unpaired	0.14745762282434555	0.2032820722441006
trimmed_trimmomatic | fastqc_results | Plasmid_Ko_P4_S64_L002_R2_paired	0.13980664318099403	0.0
trimmed_trimmomatic | fastqc_results | Plasmid_Ko_P4_S64_L002_R2_unpaired	2.7699419148854325	0.0
trimmed_trimmomatic | fastqc_results | RNP_Cas1_S65_L002_R1_paired	0.0	0.0
trimmed_trimmomatic | fastqc_results | RNP_Cas1_S65_L002_R1_unpaired	0.3235001005296637	0.8356722820109169
trimmed_trimmomatic | fastqc_results | RNP_Cas1_S65_L002_R2_paired	0.18253129956334394	0.0
trimmed_trimmomatic | fastqc_results | RNP_Cas1_S65_L002_R2_unpaired	3.680025307349081	0.0
trimmed_trimmomatic | fastqc_results | RNP_Cas2_S66_L002_R1_paired	0.0	0.0
trimmed_trimmomatic | fastqc_results | RNP_Cas2_S66_L002_R1_unpaired	0.19970503580345236	0.28436414156868095
trimmed_trimmomatic | fastqc_results | RNP_Cas2_S66_L002_R2_paired	0.1850256477724546	0.0
trimmed_trimmomatic | fastqc_results | RNP_Cas2_S66_L002_R2_unpaired	2.9449689413136593	0.0
trimmed_trimmomatic | fastqc_results | RNP_Cas3_S67_L002_R1_paired	0.0	0.0
trimmed_trimmomatic | fastqc_results | RNP_Cas3_S67_L002_R1_unpaired	0.31749717835775426	0.48735754452201885
trimmed_trimmomatic | fastqc_results | RNP_Cas3_S67_L002_R2_paired	0.13848896412471204	0.0
trimmed_trimmomatic | fastqc_results | RNP_Cas3_S67_L002_R2_unpaired	2.3191964521967376	0.0
trimmed_trimmomatic | fastqc_results | RNP_Cas4_S68_L002_R1_paired	0.0	0.0
trimmed_trimmomatic | fastqc_results | RNP_Cas4_S68_L002_R1_unpaired	0.1639823285174183	0.23671685120172833
trimmed_trimmomatic | fastqc_results | RNP_Cas4_S68_L002_R2_paired	0.18473098928577866	0.0
trimmed_trimmomatic | fastqc_results | RNP_Cas4_S68_L002_R2_unpaired	2.5119310906762893	0.0
