Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37
raw_fastq | fastqc_results | Control_MNP_III_S56_L002_R1_001	(1, 0.002196250200503206)	(2, 0.008425940823728922)	(3, 0.020884574028558926)	(4, 0.04461170621853208)	(5, 0.0)	(6, 0.0004937074701403664)	(7, 0.1950092144140948)	(8, 0.0)	(9, 0.1623123151416169)	(10, 0.08978863268621275)	(15, 0.12035600707081855)	(20, 0.050214687571328104)	(25, 0.14754746961793422)	(30, 0.12852551922672303)	(35, 0.1350292923000388)	(40, 0.045963118211798125)	(45, 0.18771057231385305)	(50, 0.014864335059332155)	(55, 0.05344308560107325)	(60, 0.16591757654023584)	(65, 0.06332007756204198)	(70, 0.11151026528914602)	(75, 0.004471044771256016)	(80, 0.02766616976007186)	(85, 0.03929851618987604)	(90, 0.002703123203180649)	(95, 0.030979694926335146)	(100, 0.01096614056176325)	(105, 0.055048532528975146)	(110, 0.021070986000617988)	(115, 0.12807848955375958)	(120, 0.180436465978794)	(125, 0.07506223650187133)	(130, 0.012258606875261015)	(135, 0.0694224515013012)	(140, 0.13774423456083795)	(145, 0.028623363818847027)	(150, 0.08826143091191188)
raw_fastq | fastqc_results | Control_MNP_III_S56_L002_R2_001	(1, 0.06943471938389258)	(2, 0.0317192088732757)	(3, 0.002417670520444946)	(4, 0.0014728939525854266)	(5, 0.1733960478462681)	(6, 0.005027587737596066)	(7, 6.73237459282318e-05)	(8, 0.0035240240785322217)	(9, 0.006667294971759222)	(10, 0.0015707377966677901)	(15, 0.006118232421633421)	(20, 0.0361227802902792)	(25, 0.01981517372657004)	(30, 0.09678566440469602)	(35, 0.002855125260654168)	(40, 0.01852809331274653)	(45, 0.04400998153825798)	(50, 0.003708640750699862)	(55, 0.032143198864299276)	(60, 0.0026164999834196573)	(65, 0.028587457821018642)	(70, 0.10209735835010922)	(75, 0.11351726095942877)	(80, 0.05395369881185781)	(85, 0.03172728772278709)	(90, 0.07066165725135352)	(95, 0.003943825036475819)	(100, 0.004508895677300111)	(105, 0.014856256209820767)	(110, 0.0546143691719002)	(115, 0.02731055077324651)	(120, 0.027242179769048285)	(125, 0.01105066926498425)	(130, 0.053399100753733476)	(135, 0.019663022060772233)	(140, 0.05283103794642348)	(145, 0.02825143752467462)	(150, 0.0014762601398818384)
raw_fastq | fastqc_results | Control_MNP_II_S55_L002_R1_001	(1, 0.002088812621464532)	(2, 0.008266098618075667)	(3, 0.01963843599783502)	(4, 0.04377825928475646)	(5, 0.0)	(6, 0.0004793867978127137)	(7, 0.1944214548192802)	(8, 0.0)	(9, 0.16330667092927292)	(10, 0.08945467131935145)	(15, 0.11966573680225857)	(20, 0.049865924193228384)	(25, 0.14506588596741)	(30, 0.12612486782649077)	(35, 0.1336600775355358)	(40, 0.0455043645704534)	(45, 0.18605306616343303)	(50, 0.014687379200196696)	(55, 0.052969191225985986)	(60, 0.16529835493689027)	(65, 0.06330376958340037)	(70, 0.11112858522476711)	(75, 0.004478708305176854)	(80, 0.02732973967889218)	(85, 0.0391285983629371)	(90, 0.002638113252432966)	(95, 0.03080243953919746)	(100, 0.010858697495903902)	(105, 0.054840754822275364)	(110, 0.020923630554972726)	(115, 0.12778105927903197)	(120, 0.17881158839771338)	(125, 0.07462402350356048)	(130, 0.012067565541676973)	(135, 0.06914227848243815)	(140, 0.1376021541593765)	(145, 0.028408790092631135)	(150, 0.08853093284369667)
raw_fastq | fastqc_results | Control_MNP_II_S55_L002_R2_001	(1, 0.0682809463142311)	(2, 0.03071516455284199)	(3, 0.0025259695871697636)	(4, 0.001533568532643934)	(5, 0.17309304350321794)	(6, 0.004847828319153364)	(7, 6.960101958455385e-05)	(8, 0.0033877709757335656)	(9, 0.006752862967557558)	(10, 0.0015460810754905955)	(15, 0.006085788027044923)	(20, 0.03648579290693663)	(25, 0.019757930782020632)	(30, 0.0965104942305838)	(35, 0.0028150093269276415)	(40, 0.01772073239979858)	(45, 0.04397282932602205)	(50, 0.0036847874615561892)	(55, 0.032029294365312606)	(60, 0.002615277861737809)	(65, 0.02824237327277054)	(70, 0.10212940800266267)	(75, 0.11260006026353449)	(80, 0.05325557205038895)	(85, 0.03138380356121046)	(90, 0.07025417432114958)	(95, 0.003914705436363592)	(100, 0.0044918464751658475)	(105, 0.014911979344294269)	(110, 0.054715160173452)	(115, 0.027130946654415847)	(120, 0.027600636231522396)	(125, 0.010906401565506797)	(130, 0.053531786433729)	(135, 0.01985975159943534)	(140, 0.05248386097032111)	(145, 0.02853579240252475)	(150, 0.001461621411275631)
raw_fastq | fastqc_results | Control_MNP_I_S54_L002_R1_001	(1, 0.0022269829850768467)	(2, 0.008361946491210165)	(3, 0.020560138188996872)	(4, 0.0444647361508579)	(5, 0.0)	(6, 0.0004128765877844691)	(7, 0.19424249337159716)	(8, 0.0)	(9, 0.16212499896083427)	(10, 0.08953141129610737)	(15, 0.12102719964804425)	(20, 0.0500583371503827)	(25, 0.14581462021343822)	(30, 0.1276008644551748)	(35, 0.13393142625212337)	(40, 0.045586517057514)	(45, 0.1862221663891214)	(50, 0.014885715401824687)	(55, 0.053127492727453894)	(60, 0.16474604794012085)	(65, 0.06348463743206575)	(70, 0.11112852330886407)	(75, 0.004506890691058884)	(80, 0.027195814190200084)	(85, 0.039073428738166494)	(90, 0.002725463714807362)	(95, 0.03094470172492107)	(100, 0.011014559008867912)	(105, 0.055113763879498096)	(110, 0.021020041260718183)	(115, 0.12768630918531088)	(120, 0.18001753992203756)	(125, 0.0747174312087626)	(130, 0.01218225051679117)	(135, 0.06922824494475859)	(140, 0.13761112906132372)	(145, 0.028472702787942786)	(150, 0.08814317354911082)
raw_fastq | fastqc_results | Control_MNP_I_S54_L002_R2_001	(1, 0.07000489928286126)	(2, 0.031679111933385566)	(3, 0.0024724771724081527)	(4, 0.0015423092613184317)	(5, 0.1726023401701525)	(6, 0.004909883746626119)	(7, 8.687943642568944e-05)	(8, 0.003454453921733376)	(9, 0.006704860726723849)	(10, 0.0015737133878796444)	(15, 0.006162860572875512)	(20, 0.0365689097919573)	(25, 0.019748572664513964)	(30, 0.09623244613939229)	(35, 0.002849326691142703)	(40, 0.018849171232745633)	(45, 0.04411514605162572)	(50, 0.003756220477978936)	(55, 0.03215049265542367)	(60, 0.002650540164128327)	(65, 0.028205209770837632)	(70, 0.10210501780633903)	(75, 0.11254123076868876)	(80, 0.053580381679537166)	(85, 0.031472195404063465)	(90, 0.07016925285892528)	(95, 0.003971585833228673)	(100, 0.0045400483475296054)	(105, 0.01486483245472053)	(110, 0.05494207736017613)	(115, 0.027366703650472265)	(120, 0.027648543730473395)	(125, 0.010845263666695283)	(130, 0.053588192858224984)	(135, 0.019724979716640566)	(140, 0.052533683735370054)	(145, 0.02832747862907342)	(150, 0.0014574224725171848)
raw_fastq | fastqc_results | Only_MNP_C1_S57_L002_R1_001	(1, 0.0022398567135410693)	(2, 0.008173159308098903)	(3, 0.02052254501493213)	(4, 0.04426450141703516)	(5, 0.0)	(6, 0.0004486710246179494)	(7, 0.1930903420273446)	(8, 0.0)	(9, 0.16136239122799695)	(10, 0.08771527277304783)	(15, 0.11994174693308209)	(20, 0.04901236793602347)	(25, 0.14410228803768443)	(30, 0.12585878192323857)	(35, 0.13218897908109392)	(40, 0.04518440820786004)	(45, 0.1839909787912332)	(50, 0.014547786267222461)	(55, 0.05248086608306023)	(60, 0.16382999440315696)	(65, 0.06318232597198871)	(70, 0.11058577535657517)	(75, 0.0043849065283129655)	(80, 0.027171272362194607)	(85, 0.03892417924097824)	(90, 0.0026407744478195642)	(95, 0.03042444340151025)	(100, 0.011017891032606392)	(105, 0.05465862602711227)	(110, 0.02068487121799079)	(115, 0.12679565600037454)	(120, 0.17886370975669078)	(125, 0.07419444462883978)	(130, 0.011795762395754939)	(135, 0.06904496069366324)	(140, 0.13753122538240262)	(145, 0.02767959126961752)	(150, 0.08840961960822169)
raw_fastq | fastqc_results | Only_MNP_C1_S57_L002_R2_001	(1, 0.06991658943271636)	(2, 0.031553904924300935)	(3, 0.0023824169026496964)	(4, 0.0015279303703851026)	(5, 0.17203866256817493)	(6, 0.0049353812707974435)	(7, 8.920944349128819e-05)	(8, 0.0034100747075738493)	(9, 0.006641730528165122)	(10, 0.001551194793883811)	(15, 0.006042627892954021)	(20, 0.036651612398157035)	(25, 0.019883210669911233)	(30, 0.09579117629569348)	(35, 0.002764967986797632)	(40, 0.018194178539809508)	(45, 0.04403413114825472)	(50, 0.0036867989028742765)	(55, 0.03218571768879217)	(60, 0.002562235153451744)	(65, 0.027542803456264205)	(70, 0.10189800000386576)	(75, 0.11064507339842526)	(80, 0.05214431908447741)	(85, 0.031062378382711676)	(90, 0.06977175527740109)	(95, 0.003911571716376836)	(100, 0.004374586220144365)	(105, 0.014536591356666692)	(110, 0.0546773425181977)	(115, 0.02731540683560014)	(120, 0.02828901421299722)	(125, 0.010593184113396888)	(130, 0.05363184282457529)	(135, 0.01991189762821039)	(140, 0.0524708956158465)	(145, 0.02868713321963677)	(150, 0.0014776407331228566)
raw_fastq | fastqc_results | Only_MNP_C2_S58_L002_R1_001	(1, 0.0022988335565880163)	(2, 0.008159587011638006)	(3, 0.020924227606287565)	(4, 0.04448706638159708)	(5, 0.0)	(6, 0.00042349093723649284)	(7, 0.19573898848467408)	(8, 0.0)	(9, 0.16404528785819802)	(10, 0.09026955542857029)	(15, 0.12064157038581058)	(20, 0.050353072437418996)	(25, 0.1482631922638514)	(30, 0.12931312182893723)	(35, 0.13571226686310958)	(40, 0.04625489482889825)	(45, 0.18811910620235142)	(50, 0.014914595748108312)	(55, 0.05380091241286571)	(60, 0.16708096281682272)	(65, 0.06368614292185537)	(70, 0.11130113306313408)	(75, 0.004426629300540209)	(80, 0.027771649287588938)	(85, 0.03956176829527219)	(90, 0.0026781698185855103)	(95, 0.031113288241178285)	(100, 0.011002064748120311)	(105, 0.05551999015925245)	(110, 0.021066047827129557)	(115, 0.12920938296369167)	(120, 0.18112608899340324)	(125, 0.07528864559571641)	(130, 0.012244140686906569)	(135, 0.0694088514628682)	(140, 0.13825419734917324)	(145, 0.028650146766693474)	(150, 0.08925194610089678)
raw_fastq | fastqc_results | Only_MNP_C2_S58_L002_R2_001	(1, 0.06986533529870334)	(2, 0.03137444098580746)	(3, 0.0023595667530134047)	(4, 0.0015823459825425547)	(5, 0.17582588652698217)	(6, 0.004803667549699985)	(7, 9.438267012053619e-05)	(8, 0.003392851811115623)	(9, 0.006487782672198596)	(10, 0.0015856288580250082)	(15, 0.006060680571931405)	(20, 0.03611639047643732)	(25, 0.020123698419891298)	(30, 0.09725026185445926)	(35, 0.002813752576010837)	(40, 0.018399532216506753)	(45, 0.04379060434799458)	(50, 0.0037539681141855004)	(55, 0.03217973034165328)	(60, 0.0026002015258772414)	(65, 0.0285938454521694)	(70, 0.10290288100392171)	(75, 0.11403987193437085)	(80, 0.054243608171674555)	(85, 0.031930395948760945)	(90, 0.07118964726832505)	(95, 0.0039008767920252914)	(100, 0.004388876232491994)	(105, 0.014798546099803583)	(110, 0.05515214396144355)	(115, 0.02729464747998845)	(120, 0.027342741605806395)	(125, 0.011008794642859341)	(130, 0.05324544988123459)	(135, 0.01989767244292438)	(140, 0.05300809798385321)	(145, 0.028500283500919477)	(150, 0.0014292819131731633)
