Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37
raw_fastq | fastqc_results | Control_MNP_III_S56_L002_R1_001	(1, 38.96893142276821)	(2, 38.67906202552421)	(3, 38.859008875820535)	(4, 39.0609646441045)	(5, 39.165453132458325)	(6, 39.23657085572543)	(7, 39.16811764923342)	(8, 39.26481078088955)	(9, 39.25107737255557)	(10, 39.29029438063429)	(15, 39.32683869285083)	(20, 39.36536708373453)	(25, 39.277399782788166)	(30, 39.25580593514325)	(35, 39.23342107986226)	(40, 39.24177446064871)	(45, 39.15665267113208)	(50, 39.19713769054761)	(55, 39.143362788644104)	(60, 39.06491723918095)	(65, 39.07165980958107)	(70, 39.01324651253085)	(75, 39.025108298286774)	(80, 38.981840261830726)	(85, 38.94366693039872)	(90, 38.9208128914441)	(95, 38.87590027351469)	(100, 38.85050993810322)	(105, 38.78892596191476)	(110, 38.77754652087675)	(115, 38.692664608859026)	(120, 38.6469927077387)	(125, 38.65960932733397)	(130, 38.65345095051068)	(135, 38.602026609321605)	(140, 38.54210573462096)	(145, 38.55503729918795)	(150, 38.34375815482249)
raw_fastq | fastqc_results | Control_MNP_III_S56_L002_R2_001	(1, 38.9687096957512)	(2, 39.00870385324692)	(3, 39.17715888421244)	(4, 39.217698349089346)	(5, 39.18675966928512)	(6, 39.29502975488898)	(7, 39.29700835489931)	(8, 39.298648630645104)	(9, 39.32112226949006)	(10, 39.33037533639151)	(15, 39.32920109506411)	(20, 39.30239990677606)	(25, 39.29831716741832)	(30, 39.238201040389754)	(35, 39.240687381131046)	(40, 39.20814772319956)	(45, 39.16936141205303)	(50, 39.15616533847263)	(55, 39.106002743023744)	(60, 39.09041786435299)	(65, 39.04312070965871)	(70, 38.98249716056491)	(75, 38.93676608486408)	(80, 38.918100594258476)	(85, 38.89025525656141)	(90, 38.82803522806267)	(95, 38.812481291385545)	(100, 38.7663480445717)	(105, 38.72098338359437)	(110, 38.66707428452007)	(115, 38.63600544846587)	(120, 38.593020243554726)	(125, 38.555412412139425)	(130, 38.49404217388346)	(135, 38.465661652800506)	(140, 38.410692372289155)	(145, 38.37114163292144)	(150, 38.153160788905936)
raw_fastq | fastqc_results | Control_MNP_II_S55_L002_R1_001	(1, 39.0041859617246)	(2, 38.76953388979218)	(3, 38.973201644554784)	(4, 39.10263217761492)	(5, 39.2546577510628)	(6, 39.31341090432136)	(7, 39.20343430981478)	(8, 39.32605108292539)	(9, 39.293604331029016)	(10, 39.333360033014344)	(15, 39.36450379438951)	(20, 39.39871968377051)	(25, 39.31314831453311)	(30, 39.294970376945834)	(35, 39.2706312757734)	(40, 39.27971305611117)	(45, 39.19586410408747)	(50, 39.2359700837613)	(55, 39.182368483594765)	(60, 39.10378024095873)	(65, 39.109887882141855)	(70, 39.05177345352986)	(75, 39.06292165998588)	(80, 39.01943501176844)	(85, 38.98102703420906)	(90, 38.95752776396402)	(95, 38.91277145081917)	(100, 38.88631362422753)	(105, 38.82485083602164)	(110, 38.812724983927254)	(115, 38.727593723051605)	(120, 38.681943315209175)	(125, 38.69330191068875)	(130, 38.68628894010863)	(135, 38.63429094899739)	(140, 38.574006113472024)	(145, 38.586565628404536)	(150, 38.37766411392545)
raw_fastq | fastqc_results | Control_MNP_II_S55_L002_R2_001	(1, 38.95760759085924)	(2, 38.98350553590087)	(3, 39.161828939619085)	(4, 39.199676621150466)	(5, 39.15336359439685)	(6, 39.25011192860593)	(7, 39.26286902128219)	(8, 39.27301572380876)	(9, 39.28662391964946)	(10, 39.29335747732746)	(15, 39.29489844390107)	(20, 39.26941707425623)	(25, 39.255231380769274)	(30, 39.200920081685005)	(35, 39.19957231346516)	(40, 39.16862566843373)	(45, 39.127665136825826)	(50, 39.112434064177926)	(55, 39.06482637556444)	(60, 39.044520282792845)	(65, 38.99431693598482)	(70, 38.92881224608824)	(75, 38.879551993095575)	(80, 38.857259434046746)	(85, 38.82570896341481)	(90, 38.759984124711266)	(95, 38.74079434627008)	(100, 38.69190481958908)	(105, 38.64304541059871)	(110, 38.58689281575929)	(115, 38.552523788494554)	(120, 38.50636919243032)	(125, 38.466157217441946)	(130, 38.40227407489492)	(135, 38.37095220060046)	(140, 38.31336431073993)	(145, 38.27117915779482)	(150, 38.05140058757337)
raw_fastq | fastqc_results | Control_MNP_I_S54_L002_R1_001	(1, 38.96285362092648)	(2, 38.67506720144334)	(3, 38.88993590122857)	(4, 39.07917679326869)	(5, 39.22250514718815)	(6, 39.291476340589355)	(7, 39.21292424235094)	(8, 39.364852472858566)	(9, 39.3051492828234)	(10, 39.34006632599353)	(15, 39.37192775083749)	(20, 39.40547916085528)	(25, 39.320932167891655)	(30, 39.29980627559501)	(35, 39.27720326230849)	(40, 39.286076485515416)	(45, 39.20158568362068)	(50, 39.24163238841159)	(55, 39.18820006363878)	(60, 39.11107358043445)	(65, 39.11690289092441)	(70, 39.05943622626527)	(75, 39.07099779733528)	(80, 39.0276254353945)	(85, 38.99015980707154)	(90, 38.96683950121671)	(95, 38.923014640882776)	(100, 38.89640553707676)	(105, 38.83682139578127)	(110, 38.82416510714758)	(115, 38.74126010365004)	(120, 38.69446312011364)	(125, 38.70763995047744)	(130, 38.70066267887928)	(135, 38.64987765183439)	(140, 38.58996921590567)	(145, 38.603362325054405)	(150, 38.39503955800079)
raw_fastq | fastqc_results | Control_MNP_I_S54_L002_R2_001	(1, 38.98566882249088)	(2, 39.00774355619803)	(3, 39.196775993384854)	(4, 39.2283054176287)	(5, 39.20043318724649)	(6, 39.29953102081688)	(7, 39.30345840175521)	(8, 39.31535256324905)	(9, 39.329296752648325)	(10, 39.337047005736494)	(15, 39.3370316814792)	(20, 39.310986488980305)	(25, 39.30037660960396)	(30, 39.245004818580625)	(35, 39.24724947395896)	(40, 39.21441927325766)	(45, 39.1740378961247)	(50, 39.15878167420006)	(55, 39.11270016115498)	(60, 39.092729180321456)	(65, 39.04481551865043)	(70, 38.979558036973955)	(75, 38.93306933515448)	(80, 38.912125631427195)	(85, 38.88297572335879)	(90, 38.819069580377665)	(95, 38.80209331140007)	(100, 38.75529071816207)	(105, 38.70799914992058)	(110, 38.65430901161577)	(115, 38.621609558886874)	(120, 38.578202182142036)	(125, 38.539523557474766)	(130, 38.47803579208011)	(135, 38.44839937192065)	(140, 38.393589835915755)	(145, 38.35329327224216)	(150, 38.13837173461546)
raw_fastq | fastqc_results | Only_MNP_C1_S57_L002_R1_001	(1, 38.940273245551765)	(2, 38.79891675421655)	(3, 38.94536961488397)	(4, 39.07213289310397)	(5, 39.19341233564221)	(6, 39.23804628659963)	(7, 39.220203908124034)	(8, 39.30085195630756)	(9, 39.26370292254772)	(10, 39.3005275452917)	(15, 39.333405771401445)	(20, 39.36937268907637)	(25, 39.28308945701719)	(30, 39.26125641828055)	(35, 39.238685664674776)	(40, 39.24582440375229)	(45, 39.16169270755917)	(50, 39.19983756359704)	(55, 39.14504906611225)	(60, 39.066032894792826)	(65, 39.07077403387025)	(70, 39.01206325078984)	(75, 39.02224453566139)	(80, 38.978278151214056)	(85, 38.93872160820907)	(90, 38.91507443771528)	(95, 38.86943832361252)	(100, 38.842626699996366)	(105, 38.78011817644948)	(110, 38.76806927263719)	(115, 38.68246163243958)	(120, 38.63638738976938)	(125, 38.648469351802696)	(130, 38.64174440110819)	(135, 38.589974613003974)	(140, 38.529795440734496)	(145, 38.54324886852034)	(150, 38.33313988877734)
raw_fastq | fastqc_results | Only_MNP_C1_S57_L002_R2_001	(1, 38.935539127782306)	(2, 38.98288343655347)	(3, 39.152407599766484)	(4, 39.19195705849212)	(5, 39.17004038852602)	(6, 39.26886894521404)	(7, 39.28137824322135)	(8, 39.30212724028636)	(9, 39.31741642699719)	(10, 39.328920075694036)	(15, 39.3337532981584)	(20, 39.30849943934926)	(25, 39.298008611702436)	(30, 39.2422222348748)	(35, 39.24480466109897)	(40, 39.21128522724588)	(45, 39.169733438072214)	(50, 39.15428701884262)	(55, 39.10705044534272)	(60, 39.08689928448866)	(65, 39.03779159363846)	(70, 38.97176874802707)	(75, 38.924496245861086)	(80, 38.90183932817733)	(85, 38.87117201468972)	(90, 38.80606941871328)	(95, 38.787598911298446)	(100, 38.739321443761085)	(105, 38.69133447540662)	(110, 38.63582580757658)	(115, 38.601782509633246)	(120, 38.5566275265481)	(125, 38.516958077622554)	(130, 38.45389492497184)	(135, 38.42252947587152)	(140, 38.36693474366817)	(145, 38.32486055973625)	(150, 38.10932047496402)
raw_fastq | fastqc_results | Only_MNP_C2_S58_L002_R1_001	(1, 38.96248567907125)	(2, 38.83838933363553)	(3, 38.982781301680156)	(4, 39.08357512395194)	(5, 39.24151982788672)	(6, 39.26951182377669)	(7, 39.200972671686635)	(8, 39.331225065227045)	(9, 39.268333222235356)	(10, 39.301590631960266)	(15, 39.332014307887526)	(20, 39.36425930835953)	(25, 39.27648853822599)	(30, 39.25625196469839)	(35, 39.23309558694375)	(40, 39.24227020950868)	(45, 39.15632338365451)	(50, 39.19844381032786)	(55, 39.1425757713514)	(60, 39.06407078266919)	(65, 39.07013973280446)	(70, 39.01162292708368)	(75, 39.02346248783756)	(80, 38.979167513990504)	(85, 38.94124062425125)	(90, 38.9166130192834)	(95, 38.8732807109185)	(100, 38.84484393300236)	(105, 38.78503738070789)	(110, 38.77182001024553)	(115, 38.6883868181322)	(120, 38.64091481691543)	(125, 38.655717739088246)	(130, 38.648508235938486)	(135, 38.598220207113)	(140, 38.538263246595434)	(145, 38.55269399409913)	(150, 38.343673917821846)
raw_fastq | fastqc_results | Only_MNP_C2_S58_L002_R2_001	(1, 38.99632834178135)	(2, 39.03924631679016)	(3, 39.20684397137917)	(4, 39.252889861940474)	(5, 39.23071176466523)	(6, 39.32935949736944)	(7, 39.335474066342414)	(8, 39.3407381818001)	(9, 39.35492720461626)	(10, 39.368704024662534)	(15, 39.368911860226454)	(20, 39.34023021262807)	(25, 39.331827709245104)	(30, 39.2736820801993)	(35, 39.27781136141159)	(40, 39.2451413106365)	(45, 39.20470437862217)	(50, 39.18828953175871)	(55, 39.14156388571713)	(60, 39.11986919513955)	(65, 39.0714231368627)	(70, 39.00501492386987)	(75, 38.957199614308095)	(80, 38.93489832548893)	(85, 38.90546863203449)	(90, 38.840658747703486)	(95, 38.823595769299274)	(100, 38.776028924168386)	(105, 38.72824889074509)	(110, 38.67375667533745)	(115, 38.64078869048083)	(120, 38.59722244933338)	(125, 38.557197716806066)	(130, 38.49581208991448)	(135, 38.46476798827409)	(140, 38.40986048091072)	(145, 38.368628124581384)	(150, 38.157495434217815)
