Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31
raw_fastq | fastqc_results | Control_MNP_III_S56_L002_R1_001	(12.0, 31.0)	(13.0, 1182.0)	(14.0, 10095.0)	(15.0, 27773.0)	(16.0, 34695.0)	(17.0, 39504.0)	(18.0, 55668.0)	(19.0, 79077.0)	(20.0, 102812.0)	(21.0, 124896.0)	(22.0, 151355.0)	(23.0, 179185.0)	(24.0, 207439.0)	(25.0, 247116.0)	(26.0, 293030.0)	(27.0, 333920.0)	(28.0, 392165.0)	(29.0, 460628.0)	(30.0, 520143.0)	(31.0, 630119.0)	(32.0, 757773.0)	(33.0, 920215.0)	(34.0, 1246208.0)	(35.0, 1632418.0)	(36.0, 2710746.0)	(37.0, 4607275.0)	(38.0, 11069857.0)	(39.0, 77908239.0)	(40.0, 28938837.0)			
raw_fastq | fastqc_results | Control_MNP_III_S56_L002_R2_001	(9.0, 1.0)	(10.0, 91.0)	(11.0, 962.0)	(12.0, 6281.0)	(13.0, 44793.0)	(14.0, 157256.0)	(15.0, 203878.0)	(16.0, 167617.0)	(17.0, 134359.0)	(18.0, 126708.0)	(19.0, 135419.0)	(20.0, 147921.0)	(21.0, 161399.0)	(22.0, 179845.0)	(23.0, 201276.0)	(24.0, 222438.0)	(25.0, 251879.0)	(26.0, 283643.0)	(27.0, 313067.0)	(28.0, 356195.0)	(29.0, 400855.0)	(30.0, 453491.0)	(31.0, 534875.0)	(32.0, 624802.0)	(33.0, 769598.0)	(34.0, 1010541.0)	(35.0, 1330823.0)	(36.0, 2213592.0)	(37.0, 3834442.0)	(38.0, 9982402.0)	(39.0, 77971415.0)	(40.0, 31460537.0)
raw_fastq | fastqc_results | Control_MNP_II_S55_L002_R1_001	(11.0, 1.0)	(12.0, 25.0)	(13.0, 775.0)	(14.0, 7234.0)	(15.0, 21193.0)	(16.0, 27258.0)	(17.0, 33028.0)	(18.0, 48006.0)	(19.0, 70147.0)	(20.0, 92700.0)	(21.0, 113319.0)	(22.0, 137815.0)	(23.0, 164148.0)	(24.0, 190968.0)	(25.0, 228076.0)	(26.0, 270740.0)	(27.0, 310231.0)	(28.0, 362114.0)	(29.0, 423867.0)	(30.0, 482161.0)	(31.0, 580884.0)	(32.0, 697247.0)	(33.0, 842284.0)	(34.0, 1140077.0)	(35.0, 1497704.0)	(36.0, 2473608.0)	(37.0, 4218017.0)	(38.0, 10210704.0)	(39.0, 74675293.0)	(40.0, 28552066.0)		
raw_fastq | fastqc_results | Control_MNP_II_S55_L002_R2_001	(10.0, 141.0)	(11.0, 1168.0)	(12.0, 6712.0)	(13.0, 50477.0)	(14.0, 176670.0)	(15.0, 224833.0)	(16.0, 176992.0)	(17.0, 139537.0)	(18.0, 130045.0)	(19.0, 138299.0)	(20.0, 151459.0)	(21.0, 166186.0)	(22.0, 186413.0)	(23.0, 208922.0)	(24.0, 230648.0)	(25.0, 259359.0)	(26.0, 290913.0)	(27.0, 321989.0)	(28.0, 363159.0)	(29.0, 407923.0)	(30.0, 457668.0)	(31.0, 537415.0)	(32.0, 625434.0)	(33.0, 764571.0)	(34.0, 1004523.0)	(35.0, 1316229.0)	(36.0, 2176452.0)	(37.0, 3741138.0)	(38.0, 9771924.0)	(39.0, 75595194.0)	(40.0, 28249297.0)	
raw_fastq | fastqc_results | Control_MNP_I_S54_L002_R1_001	(12.0, 26.0)	(13.0, 801.0)	(14.0, 7152.0)	(15.0, 20693.0)	(16.0, 27643.0)	(17.0, 33888.0)	(18.0, 49908.0)	(19.0, 72210.0)	(20.0, 94820.0)	(21.0, 115653.0)	(22.0, 140273.0)	(23.0, 166652.0)	(24.0, 194202.0)	(25.0, 229242.0)	(26.0, 272064.0)	(27.0, 309201.0)	(28.0, 358626.0)	(29.0, 418607.0)	(30.0, 472800.0)	(31.0, 568806.0)	(32.0, 677360.0)	(33.0, 814955.0)	(34.0, 1100185.0)	(35.0, 1442222.0)	(36.0, 2368876.0)	(37.0, 4021764.0)	(38.0, 9676397.0)	(39.0, 72418428.0)	(40.0, 29387765.0)			
raw_fastq | fastqc_results | Control_MNP_I_S54_L002_R2_001	(9.0, 5.0)	(10.0, 131.0)	(11.0, 1162.0)	(12.0, 6539.0)	(13.0, 44480.0)	(14.0, 155796.0)	(15.0, 199131.0)	(16.0, 160976.0)	(17.0, 129354.0)	(18.0, 122632.0)	(19.0, 130764.0)	(20.0, 144384.0)	(21.0, 157335.0)	(22.0, 175858.0)	(23.0, 196878.0)	(24.0, 218477.0)	(25.0, 246080.0)	(26.0, 276499.0)	(27.0, 303669.0)	(28.0, 341804.0)	(29.0, 383484.0)	(30.0, 427410.0)	(31.0, 504188.0)	(32.0, 585069.0)	(33.0, 712646.0)	(34.0, 932328.0)	(35.0, 1214916.0)	(36.0, 2006241.0)	(37.0, 3450780.0)	(38.0, 9011595.0)	(39.0, 73406923.0)	(40.0, 29813685.0)
raw_fastq | fastqc_results | Only_MNP_C1_S57_L002_R1_001	(12.0, 17.0)	(13.0, 571.0)	(14.0, 5226.0)	(15.0, 15031.0)	(16.0, 20915.0)	(17.0, 27815.0)	(18.0, 42422.0)	(19.0, 62138.0)	(20.0, 83011.0)	(21.0, 102204.0)	(22.0, 124581.0)	(23.0, 148383.0)	(24.0, 172986.0)	(25.0, 206505.0)	(26.0, 246752.0)	(27.0, 282762.0)	(28.0, 332694.0)	(29.0, 390241.0)	(30.0, 443907.0)	(31.0, 538471.0)	(32.0, 645967.0)	(33.0, 786440.0)	(34.0, 1067641.0)	(35.0, 1407116.0)	(36.0, 2341108.0)	(37.0, 3996981.0)	(38.0, 9793774.0)	(39.0, 68313080.0)	(40.0, 22738932.0)			
raw_fastq | fastqc_results | Only_MNP_C1_S57_L002_R2_001	(9.0, 4.0)	(10.0, 84.0)	(11.0, 877.0)	(12.0, 5227.0)	(13.0, 34920.0)	(14.0, 119528.0)	(15.0, 156911.0)	(16.0, 132704.0)	(17.0, 111250.0)	(18.0, 107382.0)	(19.0, 115892.0)	(20.0, 128085.0)	(21.0, 141733.0)	(22.0, 157790.0)	(23.0, 178178.0)	(24.0, 197099.0)	(25.0, 223920.0)	(26.0, 252528.0)	(27.0, 279494.0)	(28.0, 315184.0)	(29.0, 355072.0)	(30.0, 399466.0)	(31.0, 470647.0)	(32.0, 548441.0)	(33.0, 672593.0)	(34.0, 884717.0)	(35.0, 1160770.0)	(36.0, 1936042.0)	(37.0, 3351654.0)	(38.0, 8842872.0)	(39.0, 68145224.0)	(40.0, 24911383.0)
raw_fastq | fastqc_results | Only_MNP_C2_S58_L002_R1_001	(12.0, 29.0)	(13.0, 977.0)	(14.0, 8391.0)	(15.0, 23106.0)	(16.0, 28593.0)	(17.0, 33620.0)	(18.0, 48634.0)	(19.0, 69651.0)	(20.0, 91427.0)	(21.0, 111450.0)	(22.0, 135228.0)	(23.0, 160734.0)	(24.0, 187822.0)	(25.0, 223414.0)	(26.0, 265122.0)	(27.0, 303157.0)	(28.0, 354353.0)	(29.0, 415674.0)	(30.0, 470455.0)	(31.0, 568872.0)	(32.0, 680785.0)	(33.0, 822290.0)	(34.0, 1113644.0)	(35.0, 1460040.0)	(36.0, 2427119.0)	(37.0, 4151582.0)	(38.0, 10221843.0)	(39.0, 73222154.0)	(40.0, 24244236.0)			
raw_fastq | fastqc_results | Only_MNP_C2_S58_L002_R2_001	(9.0, 3.0)	(10.0, 99.0)	(11.0, 854.0)	(12.0, 5179.0)	(13.0, 33064.0)	(14.0, 114310.0)	(15.0, 154707.0)	(16.0, 134558.0)	(17.0, 112626.0)	(18.0, 108954.0)	(19.0, 118667.0)	(20.0, 131724.0)	(21.0, 145473.0)	(22.0, 163499.0)	(23.0, 184136.0)	(24.0, 205064.0)	(25.0, 232767.0)	(26.0, 262848.0)	(27.0, 290704.0)	(28.0, 327115.0)	(29.0, 369028.0)	(30.0, 414035.0)	(31.0, 486647.0)	(32.0, 567489.0)	(33.0, 693513.0)	(34.0, 906527.0)	(35.0, 1184253.0)	(36.0, 1961819.0)	(37.0, 3404401.0)	(38.0, 9031125.0)	(39.0, 73027411.0)	(40.0, 27071803.0)
