Sample	Unique Reads	Duplicate Reads
raw_fastq | fastqc_results | Control_MNP_III_S56_L002_R1_001	121275028.0	12407373.0
raw_fastq | fastqc_results | Control_MNP_III_S56_L002_R2_001	120830208.0	12852193.0
raw_fastq | fastqc_results | Control_MNP_II_S55_L002_R1_001	116126069.0	11745621.0
raw_fastq | fastqc_results | Control_MNP_II_S55_L002_R2_001	115828923.0	12042767.0
raw_fastq | fastqc_results | Control_MNP_I_S54_L002_R1_001	114218887.0	11242332.0
raw_fastq | fastqc_results | Control_MNP_I_S54_L002_R2_001	113958985.0	11502234.0
raw_fastq | fastqc_results | Only_MNP_C1_S57_L002_R1_001	104072395.0	10265276.0
raw_fastq | fastqc_results | Only_MNP_C1_S57_L002_R2_001	103649363.0	10688308.0
raw_fastq | fastqc_results | Only_MNP_C2_S58_L002_R1_001	110690239.0	11154163.0
raw_fastq | fastqc_results | Only_MNP_C2_S58_L002_R2_001	110426395.0	11418007.0
raw_fastq | fastqc_results | Only_MNP_C3_S59_L002_R1_001	112227112.0	11528229.0
raw_fastq | fastqc_results | Only_MNP_C3_S59_L002_R2_001	111868258.0	11887083.0
raw_fastq | fastqc_results | Only_MNP_C4_S60_L002_R1_001	110889264.0	10930177.0
raw_fastq | fastqc_results | Only_MNP_C4_S60_L002_R2_001	110490393.0	11329048.0
raw_fastq | fastqc_results | Plasmid_Ko_P1_S61_L002_R1_001	114112395.0	11697451.0
raw_fastq | fastqc_results | Plasmid_Ko_P1_S61_L002_R2_001	113946081.0	11863765.0
raw_fastq | fastqc_results | Plasmid_Ko_P2_S62_L002_R1_001	112580672.0	11562402.0
raw_fastq | fastqc_results | Plasmid_Ko_P2_S62_L002_R2_001	112100446.0	12042628.0
raw_fastq | fastqc_results | Plasmid_Ko_P3_S63_L002_R1_001	101381511.0	9858003.0
raw_fastq | fastqc_results | Plasmid_Ko_P3_S63_L002_R2_001	101016484.0	10223030.0
raw_fastq | fastqc_results | Plasmid_Ko_P4_S64_L002_R1_001	109869941.0	11101805.0
raw_fastq | fastqc_results | Plasmid_Ko_P4_S64_L002_R2_001	109660777.0	11310969.0
raw_fastq | fastqc_results | RNP_Cas1_S65_L002_R1_001	142122985.0	16001501.0
raw_fastq | fastqc_results | RNP_Cas1_S65_L002_R2_001	141565979.0	16558507.0
raw_fastq | fastqc_results | RNP_Cas2_S66_L002_R1_001	130822009.0	14229808.0
raw_fastq | fastqc_results | RNP_Cas2_S66_L002_R2_001	130188490.0	14863327.0
raw_fastq | fastqc_results | RNP_Cas3_S67_L002_R1_001	159600444.0	19091595.0
raw_fastq | fastqc_results | RNP_Cas3_S67_L002_R2_001	159032461.0	19659578.0
raw_fastq | fastqc_results | RNP_Cas4_S68_L002_R1_001	146447450.0	17426402.0
raw_fastq | fastqc_results | RNP_Cas4_S68_L002_R2_001	145800039.0	18073813.0
trimmed_fastp | fastqc_results | Control_MNP_III_S56_L002_R1_filtered	119776674.0	12017176.0
trimmed_fastp | fastqc_results | Control_MNP_III_S56_L002_R2_filtered	119453124.0	12340726.0
trimmed_fastp | fastqc_results | Control_MNP_II_S55_L002_R1_filtered	114566532.0	11380794.0
trimmed_fastp | fastqc_results | Control_MNP_II_S55_L002_R2_filtered	114395991.0	11551335.0
trimmed_fastp | fastqc_results | Control_MNP_I_S54_L002_R1_filtered	112769327.0	10882878.0
trimmed_fastp | fastqc_results | Control_MNP_I_S54_L002_R2_filtered	112602501.0	11049704.0
trimmed_fastp | fastqc_results | Only_MNP_C1_S57_L002_R1_filtered	102831428.0	9959063.0
trimmed_fastp | fastqc_results | Only_MNP_C1_S57_L002_R2_filtered	102535783.0	10254708.0
trimmed_fastp | fastqc_results | Only_MNP_C2_S58_L002_R1_filtered	109465580.0	10853661.0
trimmed_fastp | fastqc_results | Only_MNP_C2_S58_L002_R2_filtered	109294192.0	11025049.0
trimmed_fastp | fastqc_results | Only_MNP_C3_S59_L002_R1_filtered	110951877.0	11218467.0
trimmed_fastp | fastqc_results | Only_MNP_C3_S59_L002_R2_filtered	110704932.0	11465412.0
trimmed_fastp | fastqc_results | Only_MNP_C4_S60_L002_R1_filtered	109500390.0	10644923.0
trimmed_fastp | fastqc_results | Only_MNP_C4_S60_L002_R2_filtered	109247564.0	10897749.0
trimmed_fastp | fastqc_results | Plasmid_Ko_P1_S61_L002_R1_filtered	112639014.0	11374648.0
trimmed_fastp | fastqc_results | Plasmid_Ko_P1_S61_L002_R2_filtered	112573197.0	11440465.0
trimmed_fastp | fastqc_results | Plasmid_Ko_P2_S62_L002_R1_filtered	111225045.0	11232657.0
trimmed_fastp | fastqc_results | Plasmid_Ko_P2_S62_L002_R2_filtered	110894544.0	11563158.0
trimmed_fastp | fastqc_results | Plasmid_Ko_P3_S63_L002_R1_filtered	100094647.0	9553192.0
