Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
raw_fastq | fastqc_results | Control_MNP_III_S56_L002_R1_001	(1.0, 86.35084346270598)	(2.0, 7.242342449401009)	(3.0, 1.0699421930021211)	(4.0, 0.4692741537967956)	(5.0, 0.34259902710822987)	(6.0, 0.21982541091917582)	(7.0, 0.20491429723024113)	(8.0, 0.15499342120184145)	(9.0, 0.12304099203388436)	('>10', 1.65267755720459)	('>50', 1.1046541287815974)	('>100', 0.683762620939741)	('>500', 0.17282608984561168)	('>1k', 0.11219215221185193)	('>5k', 0.03744050062986178)	('>10k+', 0.058671542987520905)
raw_fastq | fastqc_results | Control_MNP_III_S56_L002_R2_001	(1.0, 85.89963852691717)	(2.0, 7.474512452631766)	(3.0, 1.0599356289563102)	(4.0, 0.4922983096108588)	(5.0, 0.3409502504809343)	(6.0, 0.21840999767532704)	(7.0, 0.17858496846911742)	(8.0, 0.17166579451833988)	(9.0, 0.14776802417770366)	('>10', 1.6696901090836738)	('>50', 1.0270235204476537)	('>100', 0.7338152045947285)	('>500', 0.2057466406231525)	('>1k', 0.10575080583022607)	('>5k', 0.022164392890113477)	('>10k+', 0.2520453730929556)
raw_fastq | fastqc_results | Control_MNP_II_S55_L002_R1_001	(1.0, 86.57227913117285)	(2.0, 6.9817087850003094)	(3.0, 1.0690795461364222)	(4.0, 0.4723374295950493)	(5.0, 0.3386581786442288)	(6.0, 0.23385591231927175)	(7.0, 0.1949564968051908)	(8.0, 0.16202748742371473)	(9.0, 0.14408100676303748)	('>10', 1.7171848651063872)	('>50', 1.0441907509103296)	('>100', 0.6832432134081949)	('>500', 0.20431354931607512)	('>1k', 0.1169953585835845)	('>5k', 0.03694254195557651)	('>10k+', 0.028145746859838658)
raw_fastq | fastqc_results | Control_MNP_II_S55_L002_R2_001	(1.0, 86.29489369233717)	(2.0, 7.095021193368929)	(3.0, 1.0327537139611258)	(4.0, 0.5011376619150685)	(5.0, 0.32392423679520044)	(6.0, 0.21736398131768983)	(7.0, 0.21944452415860807)	(8.0, 0.15866098647740984)	(9.0, 0.13376693006332258)	('>10', 1.6822081469987156)	('>50', 1.0618330864076144)	('>100', 0.6697740605164811)	('>500', 0.17798676106072242)	('>1k', 0.13918123550301417)	('>5k', 0.014203303301514087)	('>10k+', 0.2778464858174479)
raw_fastq | fastqc_results | Control_MNP_I_S54_L002_R1_001	(1.0, 86.83780742100097)	(2.0, 6.890958110279595)	(3.0, 1.0694048906148608)	(4.0, 0.49945520573898117)	(5.0, 0.33776687940542544)	(6.0, 0.23893075772175834)	(7.0, 0.18902086167655374)	(8.0, 0.14707505552211292)	(9.0, 0.14413116829700576)	('>10', 1.757578433150501)	('>50', 0.9893672640654925)	('>100', 0.587958381356152)	('>500', 0.16647439025989655)	('>1k', 0.08140026414194879)	('>5k', 0.024001155971976367)	('>10k+', 0.03866976079672391)
raw_fastq | fastqc_results | Control_MNP_I_S54_L002_R2_001	(1.0, 86.54074730504256)	(2.0, 7.123078504447373)	(3.0, 1.0421882241922045)	(4.0, 0.47744595629422143)	(5.0, 0.3190897765687125)	(6.0, 0.21148177883583466)	(7.0, 0.19659726820878423)	(8.0, 0.15774023199830678)	(9.0, 0.13782835948153052)	('>10', 1.6724214074334203)	('>50', 1.0009663888492557)	('>100', 0.590392234633555)	('>500', 0.16882235563685194)	('>1k', 0.07844554916711147)	('>5k', 0.014292388894761084)	('>10k+', 0.2684622703155614)
raw_fastq | fastqc_results | Only_MNP_C1_S57_L002_R1_001	(1.0, 87.05800829590709)	(2.0, 6.468169177620703)	(3.0, 1.0051381513436155)	(4.0, 0.47133446300407544)	(5.0, 0.3226863549993019)	(6.0, 0.2398723416598795)	(7.0, 0.18798258108598412)	(8.0, 0.17205963768227717)	(9.0, 0.11809277676415852)	('>10', 1.8994001725161167)	('>50', 1.0512019938891826)	('>100', 0.6156192035651695)	('>500', 0.20726389252284103)	('>1k', 0.12534624228437863)	('>5k', 0.032909037462398386)	('>10k+', 0.024915677692948498)
raw_fastq | fastqc_results | Only_MNP_C1_S57_L002_R2_001	(1.0, 86.53752364892009)	(2.0, 6.758233245862459)	(3.0, 1.0269313394617243)	(4.0, 0.4922673850972742)	(5.0, 0.3249997727159503)	(6.0, 0.2234111225495509)	(7.0, 0.1935752324165023)	(8.0, 0.15572699981965177)	(9.0, 0.10985586152298385)	('>10', 1.8368354374136382)	('>50', 1.085407679489662)	('>100', 0.6583364499972816)	('>500', 0.20861705029236471)	('>1k', 0.11957653575631985)	('>5k', 0.039128328320665144)	('>10k+', 0.2295739103639904)
raw_fastq | fastqc_results | Only_MNP_C2_S58_L002_R1_001	(1.0, 86.59422280543183)	(2.0, 7.016065595134961)	(3.0, 1.041362005699433)	(4.0, 0.49142992888924103)	(5.0, 0.3287543078133603)	(6.0, 0.22692400601716567)	(7.0, 0.19501508274226792)	(8.0, 0.144070499979499)	(9.0, 0.13211905504210797)	('>10', 1.9240157106424995)	('>50', 0.9231365474332386)	('>100', 0.6131015544576516)	('>500', 0.20091318636170463)	('>1k', 0.1350352485146366)	('>5k', 0.02486860391098281)	('>10k+', 0.008965861929461694)
raw_fastq | fastqc_results | Only_MNP_C2_S58_L002_R2_001	(1.0, 86.3125984548403)	(2.0, 7.133420797460626)	(3.0, 1.0864024118952718)	(4.0, 0.4686422702785499)	(5.0, 0.3361652778203176)	(6.0, 0.2305229986615733)	(7.0, 0.15174876710707694)	(8.0, 0.15380894116629676)	(9.0, 0.13288983314159886)	('>10', 1.85767015012624)	('>50', 0.9556123796054274)	('>100', 0.6430959860686078)	('>500', 0.19506029533048577)	('>1k', 0.12853797150550864)	('>5k', 0.029620413431864896)	('>10k+', 0.18420305156035305)
