Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20
raw_fastq | fastqc_results | Control_MNP_III_S56_L002_R1_001	(151, 133682401.0)																				
raw_fastq | fastqc_results | Control_MNP_III_S56_L002_R2_001	(151, 133682401.0)																				
raw_fastq | fastqc_results | Control_MNP_II_S55_L002_R1_001	(151, 127871690.0)																				
raw_fastq | fastqc_results | Control_MNP_II_S55_L002_R2_001	(151, 127871690.0)																				
raw_fastq | fastqc_results | Control_MNP_I_S54_L002_R1_001	(151, 125461219.0)																				
raw_fastq | fastqc_results | Control_MNP_I_S54_L002_R2_001	(151, 125461219.0)																				
raw_fastq | fastqc_results | Only_MNP_C1_S57_L002_R1_001	(151, 114337671.0)																				
raw_fastq | fastqc_results | Only_MNP_C1_S57_L002_R2_001	(151, 114337671.0)																				
raw_fastq | fastqc_results | Only_MNP_C2_S58_L002_R1_001	(151, 121844402.0)																				
raw_fastq | fastqc_results | Only_MNP_C2_S58_L002_R2_001	(151, 121844402.0)																				
raw_fastq | fastqc_results | Only_MNP_C3_S59_L002_R1_001	(151, 123755341.0)																				
raw_fastq | fastqc_results | Only_MNP_C3_S59_L002_R2_001	(151, 123755341.0)																				
raw_fastq | fastqc_results | Only_MNP_C4_S60_L002_R1_001	(151, 121819441.0)																				
raw_fastq | fastqc_results | Only_MNP_C4_S60_L002_R2_001	(151, 121819441.0)																				
raw_fastq | fastqc_results | Plasmid_Ko_P1_S61_L002_R1_001	(151, 125809846.0)																				
raw_fastq | fastqc_results | Plasmid_Ko_P1_S61_L002_R2_001	(151, 125809846.0)																				
raw_fastq | fastqc_results | Plasmid_Ko_P2_S62_L002_R1_001	(151, 124143074.0)																				
raw_fastq | fastqc_results | Plasmid_Ko_P2_S62_L002_R2_001	(151, 124143074.0)																				
raw_fastq | fastqc_results | Plasmid_Ko_P3_S63_L002_R1_001	(151, 111239514.0)																				
raw_fastq | fastqc_results | Plasmid_Ko_P3_S63_L002_R2_001	(151, 111239514.0)																				
raw_fastq | fastqc_results | Plasmid_Ko_P4_S64_L002_R1_001	(151, 120971746.0)																				
raw_fastq | fastqc_results | Plasmid_Ko_P4_S64_L002_R2_001	(151, 120971746.0)																				
raw_fastq | fastqc_results | RNP_Cas1_S65_L002_R1_001	(151, 158124486.0)																				
raw_fastq | fastqc_results | RNP_Cas1_S65_L002_R2_001	(151, 158124486.0)																				
raw_fastq | fastqc_results | RNP_Cas2_S66_L002_R1_001	(151, 145051817.0)																				
raw_fastq | fastqc_results | RNP_Cas2_S66_L002_R2_001	(151, 145051817.0)																				
raw_fastq | fastqc_results | RNP_Cas3_S67_L002_R1_001	(151, 178692039.0)																				
raw_fastq | fastqc_results | RNP_Cas3_S67_L002_R2_001	(151, 178692039.0)																				
raw_fastq | fastqc_results | RNP_Cas4_S68_L002_R1_001	(151, 163873852.0)																				
raw_fastq | fastqc_results | RNP_Cas4_S68_L002_R2_001	(151, 163873852.0)																				
trimmed_fastp | fastqc_results | Control_MNP_III_S56_L002_R1_filtered	(50, 32181.0)	(55, 33952.0)	(60, 35285.0)	(65, 37048.0)	(70, 39405.0)	(75, 40612.0)	(80, 41837.0)	(85, 64221.0)	(90, 72565.0)	(95, 75465.0)	(100, 79298.0)	(105, 81361.0)	(110, 82032.0)	(115, 83797.0)	(120, 85173.0)	(125, 89327.0)	(130, 94574.0)	(135, 102847.0)	(140, 111625.0)	(145, 99716.0)	(150, 130411529.0)
