Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
raw_fastq | fastqc_results | Control_MNP_III_S56_L002_R1_001	Control_MNP_III_S56_L002_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	133682401.0	0.0	151.0	40.0	90.71876835878383	151.0	151	pass	pass	fail	pass	pass	warn	pass	pass	pass	pass	pass
raw_fastq | fastqc_results | Control_MNP_III_S56_L002_R2_001	Control_MNP_III_S56_L002_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	133682401.0	0.0	151.0	40.0	90.38602399556919	151.0	151	pass	pass	fail	pass	pass	warn	pass	pass	pass	warn	pass
raw_fastq | fastqc_results | Control_MNP_II_S55_L002_R1_001	Control_MNP_II_S55_L002_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	127871690.0	0.0	151.0	40.0	90.81452569251326	151.0	151	pass	pass	fail	pass	pass	warn	pass	pass	pass	pass	pass
raw_fastq | fastqc_results | Control_MNP_II_S55_L002_R2_001	Control_MNP_II_S55_L002_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	127871690.0	0.0	151.0	40.0	90.58214738936003	151.0	151	pass	pass	fail	pass	pass	warn	pass	pass	pass	warn	pass
raw_fastq | fastqc_results | Control_MNP_I_S54_L002_R1_001	Control_MNP_I_S54_L002_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	125461219.0	0.0	151.0	40.0	91.03919733887057	151.0	151	pass	pass	fail	pass	pass	warn	pass	pass	pass	pass	pass
raw_fastq | fastqc_results | Control_MNP_I_S54_L002_R2_001	Control_MNP_I_S54_L002_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	125461219.0	0.0	151.0	40.0	90.83203951154695	151.0	151	pass	pass	fail	pass	pass	warn	pass	pass	pass	warn	pass
raw_fastq | fastqc_results | Only_MNP_C1_S57_L002_R1_001	Only_MNP_C1_S57_L002_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	114337671.0	0.0	151.0	40.0	91.02196442496684	151.0	151	pass	pass	fail	pass	pass	warn	pass	pass	pass	pass	pass
raw_fastq | fastqc_results | Only_MNP_C1_S57_L002_R2_001	Only_MNP_C1_S57_L002_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	114337671.0	0.0	151.0	40.0	90.65197995923123	151.0	151	pass	pass	fail	pass	pass	warn	pass	pass	pass	warn	pass
raw_fastq | fastqc_results | Only_MNP_C2_S58_L002_R1_001	Only_MNP_C2_S58_L002_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	121844402.0	0.0	151.0	40.0	90.84556737656571	151.0	151	pass	pass	fail	pass	pass	warn	pass	pass	pass	pass	pass
raw_fastq | fastqc_results | Only_MNP_C2_S58_L002_R2_001	Only_MNP_C2_S58_L002_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	121844402.0	0.0	151.0	40.0	90.62902611346502	151.0	151	pass	pass	fail	pass	pass	warn	pass	pass	pass	warn	pass
