Sample	fastqc-percent_duplicates	fastqc-percent_gc	fastqc-avg_sequence_length	fastqc-median_sequence_length	fastqc-percent_fails	fastqc-total_sequences
raw_fastq | fastqc_results | Control_MNP_III_S56_L002_R1_001	9.281231641216166	40.0	151.0	151	9.090909090909092	133.682401
raw_fastq | fastqc_results | Control_MNP_III_S56_L002_R2_001	9.61397600443081	40.0	151.0	151	9.090909090909092	133.682401
raw_fastq | fastqc_results | Control_MNP_II_S55_L002_R1_001	9.185474307486743	40.0	151.0	151	9.090909090909092	127.87169
raw_fastq | fastqc_results | Control_MNP_II_S55_L002_R2_001	9.417852610639969	40.0	151.0	151	9.090909090909092	127.87169
raw_fastq | fastqc_results | Control_MNP_I_S54_L002_R1_001	8.960802661129435	40.0	151.0	151	9.090909090909092	125.461219
raw_fastq | fastqc_results | Control_MNP_I_S54_L002_R2_001	9.167960488453048	40.0	151.0	151	9.090909090909092	125.461219
raw_fastq | fastqc_results | Only_MNP_C1_S57_L002_R1_001	8.97803557503316	40.0	151.0	151	9.090909090909092	114.337671
raw_fastq | fastqc_results | Only_MNP_C1_S57_L002_R2_001	9.348020040768773	40.0	151.0	151	9.090909090909092	114.337671
raw_fastq | fastqc_results | Only_MNP_C2_S58_L002_R1_001	9.154432623434289	40.0	151.0	151	9.090909090909092	121.84440199999999
raw_fastq | fastqc_results | Only_MNP_C2_S58_L002_R2_001	9.370973886534983	40.0	151.0	151	9.090909090909092	121.84440199999999
raw_fastq | fastqc_results | Only_MNP_C3_S59_L002_R1_001	9.315339156385306	40.0	151.0	151	9.090909090909092	123.755341
raw_fastq | fastqc_results | Only_MNP_C3_S59_L002_R2_001	9.605309174941922	40.0	151.0	151	9.090909090909092	123.755341
raw_fastq | fastqc_results | Only_MNP_C4_S60_L002_R1_001	8.972440689440049	40.0	151.0	151	9.090909090909092	121.819441
raw_fastq | fastqc_results | Only_MNP_C4_S60_L002_R2_001	9.299868665569775	40.0	151.0	151	9.090909090909092	121.819441
raw_fastq | fastqc_results | Plasmid_Ko_P1_S61_L002_R1_001	9.297723652116957	40.0	151.0	151	9.090909090909092	125.809846
raw_fastq | fastqc_results | Plasmid_Ko_P1_S61_L002_R2_001	9.429917803202756	40.0	151.0	151	9.090909090909092	125.809846
raw_fastq | fastqc_results | Plasmid_Ko_P2_S62_L002_R1_001	9.313771760063801	40.0	151.0	151	9.090909090909092	124.143074
raw_fastq | fastqc_results | Plasmid_Ko_P2_S62_L002_R2_001	9.700604244799464	40.0	151.0	151	9.090909090909092	124.143074
raw_fastq | fastqc_results | Plasmid_Ko_P3_S63_L002_R1_001	8.861962339127189	40.0	151.0	151	9.090909090909092	111.239514
raw_fastq | fastqc_results | Plasmid_Ko_P3_S63_L002_R2_001	9.190107219110217	40.0	151.0	151	9.090909090909092	111.239514
raw_fastq | fastqc_results | Plasmid_Ko_P4_S64_L002_R1_001	9.17718847442704	39.0	151.0	151	9.090909090909092	120.971746
