sample,group,on_target_modified_pct,on_target_reads,NC_024331.1_5708724_3mm_modified_pct,NC_024331.1_5708724_3mm_reads,NC_024331.1_13951199_4mm_modified_pct,NC_024331.1_13951199_4mm_reads,NC_024331.1_26228796_4mm_modified_pct,NC_024331.1_26228796_4mm_reads,NC_024332.1_5810651_4mm_modified_pct,NC_024332.1_5810651_4mm_reads,NC_024338.1_20512932_4mm_modified_pct,NC_024338.1_20512932_4mm_reads,NC_024339.1_7034820_4mm_modified_pct,NC_024339.1_7034820_4mm_reads,NC_024340.1_12200655_4mm_modified_pct,NC_024340.1_12200655_4mm_reads,NC_024349.1_24882037_4mm_modified_pct,NC_024349.1_24882037_4mm_reads
Control_MNP_I,Control,0.0,44.0,0.0,27.0,0.0,15.0,0.0,12.0,0.0,25.0,0.0,15.0,0.0,11.0,,11.0,0.0,12.0
Control_MNP_II,Control,0.0,44.0,0.0,18.0,0.0,12.0,0.0,13.0,28.57142857,14.0,0.0,22.0,0.0,21.0,,10.0,0.0,27.0
Control_MNP_III,Control,0.0,36.0,0.0,23.0,0.0,13.0,,8.0,0.0,15.0,0.0,22.0,0.0,18.0,,14.0,0.0,16.0
Only_MNP_C1,Only_MNP,0.0,26.0,0.0,21.0,0.0,12.0,0.0,12.0,0.0,17.0,0.0,12.0,0.0,10.0,,12.0,0.0,12.0
Only_MNP_C2,Only_MNP,0.0,36.0,0.0,25.0,0.0,13.0,0.0,12.0,0.0,19.0,0.0,26.0,0.0,16.0,,9.0,0.0,16.0
Only_MNP_C3,Only_MNP,0.0,42.0,0.0,19.0,0.0,16.0,0.0,14.0,0.0,22.0,0.0,15.0,0.0,19.0,,15.0,4.16666667,24.0
Only_MNP_C4,Only_MNP,6.25,32.0,0.0,20.0,0.0,12.0,0.0,16.0,0.0,13.0,0.0,13.0,0.0,18.0,,15.0,0.0,14.0
Plasmid_Ko_P1,Plasmid_Ko,0.0,28.0,0.0,22.0,,9.0,0.0,16.0,0.0,12.0,0.0,26.0,0.0,14.0,,5.0,0.0,12.0
Plasmid_Ko_P2,Plasmid_Ko,0.0,50.0,0.0,23.0,,9.0,0.0,19.0,0.0,13.0,0.0,16.0,0.0,19.0,,19.0,0.0,10.0
Plasmid_Ko_P3,Plasmid_Ko,0.0,28.0,0.0,22.0,0.0,11.0,0.0,10.0,25.0,12.0,0.0,15.0,0.0,14.0,,8.0,0.0,18.0
Plasmid_Ko_P4,Plasmid_Ko,0.0,34.0,0.0,28.0,0.0,19.0,0.0,18.0,0.0,11.0,0.0,19.0,0.0,13.0,,15.0,0.0,17.0
RNP_Cas1,RNP_Cas,0.0,52.0,0.0,21.0,0.0,17.0,0.0,13.0,0.0,17.0,0.0,18.0,0.0,14.0,,16.0,0.0,17.0
RNP_Cas2,RNP_Cas,0.0,34.0,3.7037037,27.0,0.0,23.0,5.55555556,18.0,0.0,13.0,0.0,29.0,0.0,20.0,,5.0,0.0,26.0
RNP_Cas3,RNP_Cas,0.0,52.0,0.0,26.0,0.0,16.0,0.0,17.0,,8.0,0.0,26.0,0.0,22.0,,14.0,0.0,18.0
RNP_Cas4,RNP_Cas,0.0,42.0,0.0,28.0,0.0,15.0,0.0,19.0,,9.0,0.0,26.0,0.0,13.0,,19.0,0.0,14.0
