Sample,Group,Chromosome,Region_Start,Region_End,Total_Reads,Covered_Bases,Coverage_Pct,Mean_Depth,Mean_BaseQ,Mean_MapQ
Control_MNP_III_S56_L002,Control,NC_024333.1,15921439,15922658,450,1220,100,48.7516,39,60
Control_MNP_II_S55_L002,Control,NC_024333.1,15921439,15922658,462,1220,100,49.6779,39,60
Control_MNP_I_S54_L002,Control,NC_024333.1,15921439,15922658,448,1220,100,48.7738,39.3,60
Only_MNP_C1_S57_L002,Only_MNP,NC_024333.1,15921439,15922658,387,1220,100,42.8795,39.2,60
Only_MNP_C2_S58_L002,Only_MNP,NC_024333.1,15921439,15922658,413,1220,100,45.4984,39.1,60
Only_MNP_C3_S59_L002,Only_MNP,NC_024333.1,15921439,15922658,450,1220,100,50.0402,39.2,60
Only_MNP_C4_S60_L002,Only_MNP,NC_024333.1,15921439,15922658,369,1220,100,39.8574,38.9,60
Plasmid_Ko_P1_S61_L002,Plasmid_Ko,NC_024333.1,15921439,15922658,410,1220,100,45.1951,39,60
Plasmid_Ko_P2_S62_L002,Plasmid_Ko,NC_024333.1,15921439,15922658,489,1220,100,54.3369,39.2,60
Plasmid_Ko_P3_S63_L002,Plasmid_Ko,NC_024333.1,15921439,15922658,384,1220,100,42.8893,39.2,60
Plasmid_Ko_P4_S64_L002,Plasmid_Ko,NC_024333.1,15921439,15922658,373,1220,100,40.3697,39.1,60
RNP_Cas1_S65_L002,RNP_Cas,NC_024333.1,15921439,15922658,476,1220,100,50.768,39.3,60
RNP_Cas2_S66_L002,RNP_Cas,NC_024333.1,15921439,15922658,492,1220,100,54.3852,39.2,59.9
RNP_Cas3_S67_L002,RNP_Cas,NC_024333.1,15921439,15922658,609,1220,100,65.8418,39.1,60
RNP_Cas4_S68_L002,RNP_Cas,NC_024333.1,15921439,15922658,518,1220,100,55.1516,39.1,60
