Position,Control_MNP_III_S56_L002,Control_MNP_II_S55_L002,Control_MNP_I_S54_L002,Only_MNP_C1_S57_L002,Only_MNP_C2_S58_L002,Only_MNP_C3_S59_L002,Only_MNP_C4_S60_L002,Plasmid_Ko_P1_S61_L002,Plasmid_Ko_P2_S62_L002,Plasmid_Ko_P3_S63_L002,Plasmid_Ko_P4_S64_L002,RNP_Cas1_S65_L002,RNP_Cas2_S66_L002,RNP_Cas3_S67_L002,RNP_Cas4_S68_L002
15849094,62,54,51,42,44,49,40,43,46,38,46,64,52,75,67
15849095,62,54,50,41,44,48,41,43,46,37,46,62,53,75,67
15849096,62,53,50,42,44,49,41,45,46,37,45,61,54,75,66
15849097,62,52,50,43,44,50,40,46,46,37,45,61,54,75,66
15849098,62,51,50,43,44,48,39,45,46,37,45,62,54,75,65
15849099,64,51,50,43,44,50,39,45,46,37,45,61,54,71,63
15849100,64,52,50,45,44,50,36,45,45,37,44,61,54,70,62
15849101,61,53,50,45,44,50,36,44,45,37,45,61,54,68,63
15849102,60,53,49,46,45,50,37,45,44,38,44,63,53,69,63
15849103,60,52,49,44,45,50,37,46,43,38,42,64,52,68,63
15849104,59,51,50,44,46,50,37,47,43,40,41,64,51,69,63
15849105,58,51,50,44,46,48,39,47,43,40,41,65,51,68,60
15849106,58,51,50,44,46,47,39,47,43,40,40,65,49,68,59
15849107,57,53,49,44,46,46,39,47,43,40,40,64,50,68,59
15849108,56,53,49,44,46,46,39,47,43,40,39,64,50,68,59
15849109,56,53,50,45,46,46,37,47,43,39,39,62,51,68,59
15849110,57,55,49,45,46,46,37,48,43,39,39,62,50,68,59
15849111,58,57,49,45,46,47,37,47,43,38,39,62,50,68,58
15849112,58,58,50,44,46,47,37,49,43,40,39,62,49,67,58
15849113,57,58,50,46,47,47,37,48,43,39,39,63,50,66,59
15849114,56,58,49,46,47,47,37,47,43,40,39,63,49,68,58
15849115,56,58,48,46,46,48,37,47,44,38,40,64,49,68,57
15849116,56,58,48,46,45,48,37,47,46,39,40,64,50,69,55
15849117,56,56,48,46,44,48,37,48,45,39,41,65,50,69,55
15849118,57,55,48,47,44,48,37,49,44,39,41,65,50,67,55
15849119,57,55,48,47,44,49,37,49,44,39,42,65,50,67,55
15849120,55,55,48,47,44,49,37,48,44,37,42,64,50,66,55
15849121,54,55,48,47,44,49,37,48,45,36,42,63,50,66,55
15849122,54,55,48,48,44,49,37,48,45,37,41,63,50,65,55
15849123,54,56,49,49,44,49,37,48,45,36,41,65,53,66,56
15849124,54,56,49,49,44,49,37,48,45,36,41,66,53,66,56
15849125,54,56,48,49,44,49,37,48,43,36,42,64,54,66,56
15849126,53,56,48,49,44,49,37,47,43,36,42,62,54,63,56
15849127,53,56,46,49,45,49,36,48,43,36,43,62,56,64,57
15849128,54,55,47,49,45,49,37,49,44,36,42,61,56,64,56
15849129,54,53,47,48,46,50,37,50,44,35,42,61,57,63,57
15849130,54,54,47,48,45,50,37,50,44,34,41,61,56,63,58
15849131,56,54,47,48,45,49,37,51,43,34,41,62,55,63,58
15849132,56,55,48,48,45,49,37,51,41,34,41,61,55,63,58
15849133,56,55,48,48,45,49,36,50,41,35,41,62,55,63,58
15849134,56,56,46,49,45,50,36,50,40,35,42,62,55,63,60
15849135,56,56,46,49,45,50,36,50,40,36,42,62,55,63,60
15849136,57,56,46,49,45,50,36,50,40,36,43,62,55,64,59
15849137,57,56,46,49,45,50,36,49,40,36,42,62,55,63,59
15849138,57,57,46,48,45,50,36,49,40,35,42,61,57,63,58
15849139,57,55,46,48,45,50,36,49,40,34,42,60,56,63,58
15849140,57,55,46,47,45,50,35,49,40,33,42,61,56,63,60
15849141,57,54,46,47,45,50,35,49,40,34,42,61,56,63,59
15849142,57,54,46,47,46,49,35,49,40,34,40,60,56,62,59
15849143,58,55,47,45,46,49,35,50,41,34,40,59,57,64,59
15849144,58,56,47,44,46,49,35,51,41,34,39,59,58,63,60
15849145,59,55,48,44,46,48,35,51,40,36,39,58,58,63,61
15849146,60,55,47,42,46,48,33,51,41,36,40,57,59,62,61
15849147,60,54,48,42,45,48,32,52,40,36,40,57,60,62,61
15849148,60,52,48,42,45,48,34,52,40,36,40,57,60,63,60
15849149,60,53,48,43,46,48,34,51,41,36,40,57,60,63,61
15849150,60,55,48,43,46,49,35,51,42,36,40,57,61,63,61
15849151,59,54,49,45,45,49,35,52,42,35,40,57,60,63,61
15849152,59,54,49,45,45,50,35,52,42,35,38,57,61,65,62
15849153,59,54,49,45,45,49,36,53,42,36,39,57,62,66,63
15849154,59,54,50,45,45,48,36,53,43,35,38,57,62,64,63
15849155,61,53,48,45,45,48,36,53,43,36,38,57,61,65,65
15849156,60,53,48,45,46,48,36,53,43,36,38,57,61,65,65
15849157,60,51,48,45,45,48,37,54,43,37,38,57,61,65,65
15849158,60,52,48,44,46,46,36,54,42,37,37,58,62,65,66
15849159,62,52,47,43,46,46,36,54,43,37,37,58,62,63,66
15849160,62,51,49,43,46,47,36,55,43,38,37,58,62,62,66
15849161,61,51,49,43,46,47,36,55,43,38,38,58,61,62,66
15849162,60,51,49,44,46,47,36,56,43,38,38,58,61,61,66
15849163,60,50,49,44,46,47,36,56,43,39,38,56,61,62,66
