Position,Control_MNP_III_S56_L002,Control_MNP_II_S55_L002,Control_MNP_I_S54_L002,Only_MNP_C1_S57_L002,Only_MNP_C2_S58_L002,Only_MNP_C3_S59_L002,Only_MNP_C4_S60_L002,Plasmid_Ko_P1_S61_L002,Plasmid_Ko_P2_S62_L002,Plasmid_Ko_P3_S63_L002,Plasmid_Ko_P4_S64_L002,RNP_Cas1_S65_L002,RNP_Cas2_S66_L002,RNP_Cas3_S67_L002,RNP_Cas4_S68_L002
15921439,15921439,15921439,15921439,15921439,15921439,15921439,15921439,15921439,15921439,15921439,15921439,15921439,15921439,15921439,15921439
15921440,15921440,15921440,15921440,15921440,15921440,15921440,15921440,15921440,15921440,15921440,15921440,15921440,15921440,15921440,15921440
15921441,15921441,15921441,15921441,15921441,15921441,15921441,15921441,15921441,15921441,15921441,15921441,15921441,15921441,15921441,15921441
15921442,15921442,15921442,15921442,15921442,15921442,15921442,15921442,15921442,15921442,15921442,15921442,15921442,15921442,15921442,15921442
15921443,15921443,15921443,15921443,15921443,15921443,15921443,15921443,15921443,15921443,15921443,15921443,15921443,15921443,15921443,15921443
15921444,15921444,15921444,15921444,15921444,15921444,15921444,15921444,15921444,15921444,15921444,15921444,15921444,15921444,15921444,15921444
15921445,15921445,15921445,15921445,15921445,15921445,15921445,15921445,15921445,15921445,15921445,15921445,15921445,15921445,15921445,15921445
15921446,15921446,15921446,15921446,15921446,15921446,15921446,15921446,15921446,15921446,15921446,15921446,15921446,15921446,15921446,15921446
15921447,15921447,15921447,15921447,15921447,15921447,15921447,15921447,15921447,15921447,15921447,15921447,15921447,15921447,15921447,15921447
15921448,15921448,15921448,15921448,15921448,15921448,15921448,15921448,15921448,15921448,15921448,15921448,15921448,15921448,15921448,15921448
15921449,15921449,15921449,15921449,15921449,15921449,15921449,15921449,15921449,15921449,15921449,15921449,15921449,15921449,15921449,15921449
15921450,15921450,15921450,15921450,15921450,15921450,15921450,15921450,15921450,15921450,15921450,15921450,15921450,15921450,15921450,15921450
15921451,15921451,15921451,15921451,15921451,15921451,15921451,15921451,15921451,15921451,15921451,15921451,15921451,15921451,15921451,15921451
15921452,15921452,15921452,15921452,15921452,15921452,15921452,15921452,15921452,15921452,15921452,15921452,15921452,15921452,15921452,15921452
15921453,15921453,15921453,15921453,15921453,15921453,15921453,15921453,15921453,15921453,15921453,15921453,15921453,15921453,15921453,15921453
15921454,15921454,15921454,15921454,15921454,15921454,15921454,15921454,15921454,15921454,15921454,15921454,15921454,15921454,15921454,15921454
15921455,15921455,15921455,15921455,15921455,15921455,15921455,15921455,15921455,15921455,15921455,15921455,15921455,15921455,15921455,15921455
15921456,15921456,15921456,15921456,15921456,15921456,15921456,15921456,15921456,15921456,15921456,15921456,15921456,15921456,15921456,15921456
15921457,15921457,15921457,15921457,15921457,15921457,15921457,15921457,15921457,15921457,15921457,15921457,15921457,15921457,15921457,15921457
